"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"41",-1.5,0,0.2,-1.5,8.88178419700125e-16,0.0991812000000001,0.00228636638835478,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"42",-1.5,0,0.2,-1,0,0.198108,0.00311636638835378,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",-1.5,0,0.2,1,0,0.593815200000001,0.0064363663883551,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"44",-1.5,0,0.2,1.5,-8.88178419700125e-16,0.692742,0.00726636638835387,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"45",-1.5,0,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"46",-1.5,0,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"47",-1.5,0,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"48",-1.5,0,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"49",-1.5,1,-0.75,-1.5,-0.0192603999999985,0.549607024888482,0.000631259600669232,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"50",-1.5,1,-0.75,-1,-0.0385208000000006,0.628988924888483,0.0011852596006694,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"51",-1.5,1,-0.75,1,-0.115562399999998,0.946516524888482,0.00340125960066828,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"52",-1.5,1,-0.75,1.5,-0.1348228,1.02589842488848,0.00395525960066845,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"53",-1.5,1,-0.2,-1.5,-0.0191810499999994,0.550143099888483,0.00276962739498465,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"54",-1.5,1,-0.2,-1,-0.0383621000000005,0.630061074888482,0.00396780239498451,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"55",-1.5,1,-0.2,1,-0.1150863,0.949732974888482,0.00876050239498305,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"56",-1.5,1,-0.2,1.5,-0.13426735,1.02965094988848,0.00995867739498468,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"57",-1.5,1,0.2,-1.5,-0.0192116999999978,0.550097424888483,0.00299305766519087,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"58",-1.5,1,0.2,-1,-0.0384234000000001,0.629969724888483,0.0041086576651912,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"59",-1.5,1,0.2,1,-0.115270200000001,0.949458924888482,0.00857105766518984,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"60",-1.5,1,0.2,1.5,-0.134481900000001,1.02933122488848,0.00968665766518928,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"61",-1.5,1,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"62",-1.5,1,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"63",-1.5,1,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"64",-1.5,1,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"65",-1.5,1.5,-0.75,-1.5,-0.0288906000000013,0.775020537332725,0.000628155722957158,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"66",-1.5,1.5,-0.75,-1,-0.0577811999999991,0.844830587332724,0.00126255572295753,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"67",-1.5,1.5,-0.75,1,-0.173343599999999,1.12407078733272,0.00380015572295722,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"68",-1.5,1.5,-0.75,1.5,-0.202234199999998,1.19388083733272,0.00443455572295726,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"69",-1.5,1.5,-0.2,-1.5,-0.0287715750000004,0.775601162332724,0.00303270921585164,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"70",-1.5,1.5,-0.2,-1,-0.0575431499999999,0.845991837332723,0.00438285921585146,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"71",-1.5,1.5,-0.2,1,-0.172629449999999,1.12755453733272,0.00978345921585078,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"72",-1.5,1.5,-0.2,1.5,-0.201401024999997,1.19794521233272,0.0111336092158503,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"73",-1.5,1.5,0.2,-1.5,-0.0288175500000012,0.775555537332724,0.00334640330360891,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"74",-1.5,1.5,0.2,-1,-0.0576350999999997,0.845900587332722,0.00460480330360857,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"75",-1.5,1.5,0.2,1,-0.1729053,1.12728078733273,0.00963840330360899,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"76",-1.5,1.5,0.2,1.5,-0.201722849999998,1.19762583733273,0.0108968033036092,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"78",-1.5,1.5,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"79",-1.5,1.5,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"80",-1.5,1.5,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"81",-0.5,-1.5,-0.75,-1.5,-0.0111541500000003,-0.590727562332724,0.000956760697177206,4,1,2,3,4,2,1,3,4,2,1,3,4,1,2,3
"82",-0.5,-1.5,-0.75,-1,-0.0223083000000006,-0.476753437332724,0.00118866069717649,4,1,3,2,4,2,1,3,4,2,1,3,4,1,3,2
