"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"39",-1.5,1,-0.2,0,-1,0.0700146000000001,0.2705871,-3.84999999999414e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"40",-1.5,1,-0.2,0.5,-1,0.0851878999999999,0.2843279,0.000149899999999925,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"41",-1.5,1,-0.2,1,-1,0.0956792,0.2964537,-0.00033099999999997,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"42",-1.5,1,-0.2,1.5,-1,0.1018586,0.3075213,-0.00029710000000005,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"43",-1.5,1,0.2,-1.5,-1,0.00484689999999999,0.0786971,-6.18999999999481e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"44",-1.5,1,0.2,-1,-1,0.0260279999999999,0.1656996,9.42000000000442e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"45",-1.5,1,0.2,-0.5,-1,0.0500383999999999,0.236369,-8.20000000000265e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"46",-1.5,1,0.2,0,-1,0.070058,0.2703778,-0.000350300000000137,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"47",-1.5,1,0.2,0.5,-1,0.0851526000000001,0.2835185,-0.000167999999999946,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"48",-1.5,1,0.2,1,-1,0.0956442000000002,0.2966902,-0.000237700000000007,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"49",-1.5,1,0.2,1.5,-1,0.1024113,0.3079183,0.000113599999999936,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"50",-1.5,1,0.75,-1.5,-1,0.00498409999999994,0.0783688,-0.000139199999999895,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"51",-1.5,1,0.75,-1,-1,0.0259463,0.1655792,6.53000000000459e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"52",-1.5,1,0.75,-0.5,-1,0.0498697000000001,0.2363453,0.000354599999999983,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"53",-1.5,1,0.75,0,-1,0.0702631999999999,0.2707138,0.000185200000000108,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"54",-1.5,1,0.75,0.5,-1,0.0851291999999998,0.2840652,-6.10000000000888e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"55",-1.5,1,0.75,1,-1,0.0960477,0.296349,-0.000534999999999952,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"56",-1.5,1,0.75,1.5,-1,0.1025767,0.3075434,-0.000241399999999947,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"57",-1.5,1,-0.75,-1.5,-0.5,0.0200484000000001,0.0769469,-0.000175299999999989,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"58",-1.5,1,-0.75,-1,-0.5,0.0475765,0.1865802,-2.97999999999687e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"59",-1.5,1,-0.75,-0.5,-0.5,0.0733643000000002,0.2665336,-2.29000000000479e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"60",-1.5,1,-0.75,0,-0.5,0.0927254999999999,0.3066303,5.17999999999352e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"61",-1.5,1,-0.75,0.5,-0.5,0.1060684,0.3276099,-6.58999999999521e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"62",-1.5,1,-0.75,1,-0.5,0.1141394,0.3427157,7.44999999999774e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"63",-1.5,1,-0.75,1.5,-0.5,0.1180075,0.3509155,-1.90999999999386e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"64",-1.5,1,-0.2,-1.5,-0.5,0.0198464999999999,0.0770529000000001,-1.64000000000275e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"65",-1.5,1,-0.2,-1,-0.5,0.0472346999999999,0.1868583,1.87000000001492e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"66",-1.5,1,-0.2,-0.5,-0.5,0.0733619,0.266468,-0.000183600000000061,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"67",-1.5,1,-0.2,0,-0.5,0.0928228,0.3070271,-4.17000000000334e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"68",-1.5,1,-0.2,0.5,-0.5,0.1064139,0.3276855,1.41000000000169e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"69",-1.5,1,-0.2,1,-0.5,0.1142316,0.3427274,4.79000000001006e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"70",-1.5,1,-0.2,1.5,-0.5,0.118001,0.3512706,3.01999999999802e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"71",-1.5,1,0.2,-1.5,-0.5,0.0199989,0.076959,-0.000157900000000044,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"72",-1.5,1,0.2,-1,-0.5,0.0473077999999999,0.1868284,7.49999999999362e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"73",-1.5,1,0.2,-0.5,-0.5,0.0734395,0.266035,-0.000238899999999931,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"74",-1.5,1,0.2,0,-0.5,0.0933552,0.3067008,-5.82000000000082e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"75",-1.5,1,0.2,0.5,-0.5,0.1062605,0.3275095,-0.000159899999999991,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"76",-1.5,1,0.2,1,-0.5,0.1147205,0.3425593,-9.57000000000319e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"77",-1.5,1,0.2,1.5,-0.5,0.1182422,0.3511799,-0.000135300000000171,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"78",-1.5,1,0.75,-1.5,-0.5,0.0198239,0.0775579,0.000229299999999988,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"79",-1.5,1,0.75,-1,-0.5,0.0477270999999999,0.1864353,5.16000000000405e-05,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"80",-1.5,1,0.75,-0.5,-0.5,0.0736218000000002,0.2662637,-7.69000000000464e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"81",-1.5,1,0.75,0,-0.5,0.0930895999999999,0.3066203,-0.000214700000000012,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"82",-1.5,1,0.75,0.5,-0.5,0.1064916,0.3274845,-8.15000000000676e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"83",-1.5,1,0.75,1,-0.5,0.1144623,0.3426547,-2.7199999999894e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"84",-1.5,1,0.75,1.5,-0.5,0.1180628,0.3510562,-0.000195300000000009,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"85",-1.5,1,-0.75,-1.5,0,0.0371206000000001,0.0821622000000001,-0.000329899999999994,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"86",-1.5,1,-0.75,-1,0,0.0732850999999999,0.2177482,-0.000159499999999979,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"87",-1.5,1,-0.75,-0.5,0,0.1018567,0.3087817,-0.00031239999999999,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"88",-1.5,1,-0.75,0,0,0.1199332,0.355998,4.89000000001294e-05,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"89",-1.5,1,-0.75,0.5,0,0.1304359,0.3824967,-0.000151299999999965,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"90",-1.5,1,-0.75,1,0,0.1353987,0.396476,5.90000000000312e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"91",-1.5,1,-0.75,1.5,0,0.1360698,0.4002179,-0.000155600000000033,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"92",-1.5,1,-0.2,-1.5,0,0.0373646999999999,0.0822073000000001,5.8400000000014e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"93",-1.5,1,-0.2,-1,0,0.0732049000000002,0.217715,-0.000205200000000016,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"94",-1.5,1,-0.2,-0.5,0,0.1016925,0.3087149,-8.2399999999927e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"95",-1.5,1,-0.2,0,0,0.1201972,0.3559943,-0.000280199999999953,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"96",-1.5,1,-0.2,0.5,0,0.1308956,0.3826185,0.000274100000000055,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"97",-1.5,1,-0.2,1,0,0.1352976,0.3966763,8.30000000001663e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"98",-1.5,1,-0.2,1.5,0,0.1360636,0.4005719,-3.21000000000904e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"99",-1.5,1,0.2,-1.5,0,0.0373112,0.0825842,-0.000267600000000034,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"100",-1.5,1,0.2,-1,0,0.0735552999999998,0.2176221,-0.000164799999999965,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"101",-1.5,1,0.2,-0.5,0,0.1019051,0.3086954,-0.000336200000000009,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"102",-1.5,1,0.2,0,0,0.1207599,0.3558085,-0.000283900000000115,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"103",-1.5,1,0.2,0.5,0,0.1310057,0.3825996,-1.05999999998607e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"104",-1.5,1,0.2,1,0,0.1358275,0.3969346,0.00010739999999998,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"105",-1.5,1,0.2,1.5,0,0.1358373,0.4003272,-0.000229400000000046,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"106",-1.5,1,0.75,-1.5,0,0.0369286,0.0819504,-0.000456200000000018,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"107",-1.5,1,0.75,-1,0,0.0739973999999999,0.2177053,-0.00012179999999995,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"108",-1.5,1,0.75,-0.5,0,0.1015438,0.3092822,2.62999999999236e-05,2,4,1,3,2,3,1,4,2,4,1,3,2,4,1,3
"109",-1.5,1,0.75,0,0,0.1203535,0.3559143,-9.99999999995449e-06,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"110",-1.5,1,0.75,0.5,0,0.1311405,0.3825817,-9.42000000000442e-05,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"111",-1.5,1,0.75,1,0,0.1361974,0.3962799,-0.000197199999999897,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"112",-1.5,1,0.75,1.5,0,0.1365447,0.4003835,-0.000105800000000045,3,4,1,2,3,4,1,2,2,4,1,3,3,4,1,2
"113",-1.5,1,-0.75,-1.5,0.5,0.0486271,0.0851512,-9.2800000000004e-05,3,2,1,4,3,1,2,4,3,1,2,4,3,2,1,4
"114",-1.5,1,-0.75,-1,0.5,0.0983305,0.2416591,-0.000108600000000014,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"115",-1.5,1,-0.75,-0.5,0.5,0.1322392,0.3471467,6.43000000000171e-05,2,4,1,3,3,2,1,4,2,3,1,4,2,4,1,3
