"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"246",1.5,-1.5,-0.2,-1,0.0367420000000001,-0.0771896,0.000147200000000014,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"247",1.5,-1.5,-0.2,1,0.1514206,0.3657749,0.000154300000000052,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"248",1.5,-1.5,-0.2,1.5,0.1612043,0.4402399,-2.0800000000154e-05,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"249",1.5,-1.5,0.2,-1.5,-0.00147619999999982,-0.1508282,-0.000171600000000049,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"250",1.5,-1.5,0.2,-1,0.0369549,-0.0775571,4.32999999999684e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"251",1.5,-1.5,0.2,1,0.1511517,0.3654647,0.000225099999999978,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"252",1.5,-1.5,0.2,1.5,0.1613822,0.4404241,0.000291099999999989,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"253",1.5,-1.5,0.75,-1.5,-0.00148539999999997,-0.1506159,8.00999999999163e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"254",1.5,-1.5,0.75,-1,0.0368042,-0.0775451,-7.69000000000464e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"255",1.5,-1.5,0.75,1,0.1514347,0.3653576,1.80000000005176e-06,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"256",1.5,-1.5,0.75,1.5,0.161438,0.440577,0.000458599999999976,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"257",1.5,-1,-0.75,-1.5,0.000893300000000097,-0.1485534,6.01000000000074e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"258",1.5,-1,-0.75,-1,-0.0131008,-0.1081789,0.000170200000000009,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"259",1.5,-1,-0.75,1,0.0419961999999998,0.0905086999999999,0.000291399999999942,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"260",1.5,-1,-0.75,1.5,0.0542326000000001,0.1229278,0.00015339999999997,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"261",1.5,-1,-0.2,-1.5,0.00056210000000001,-0.1484475,0.000141800000000081,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"262",1.5,-1,-0.2,-1,-0.0131429000000001,-0.1083126,-5.02999999999476e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"263",1.5,-1,-0.2,1,0.0422250000000001,0.0903792,-1.23999999999125e-05,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"264",1.5,-1,-0.2,1.5,0.0542829000000001,0.1228843,-1.29999999998187e-06,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"265",1.5,-1,0.2,-1.5,0.000821400000000083,-0.1487981,2.77999999999112e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"266",1.5,-1,0.2,-1,-0.0131715,-0.1085383,1.26999999999766e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
"267",1.5,-1,0.2,1,0.0422908999999999,0.0903365000000002,-0.000112200000000007,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"268",1.5,-1,0.2,1.5,0.0545806,0.1229645,-1.39000000000111e-05,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2
"269",1.5,-1,0.75,-1.5,0.000728299999999904,-0.1486882,-2.69000000000519e-05,4,1,3,2,4,1,3,2,3,1,2,4,4,1,3,2
