"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...201",0.5,0,0.2,-1.5,3.6225638,0.1627089,0.0141496499999998,0.57332265,3.6225638,0.1627089,0.0141496500000002,0.57332265,0,3.6060361,0.1627089,0.0141496500000002,0.57332265,0.0163539999999998,3.6236956,0.16311195,0.0139407,0.5744724,-0.0024756500000005
"Ys0...202",0.5,0,0.2,-1,3.7151186,0.1627089,0.0244875000000002,0.53114325,3.7151186,0.1627089,0.0244874999999998,0.53114325,0,3.6860358,0.1627089,0.0244874999999998,0.53114325,0.0289966999999995,3.716123,0.16311195,0.0242705999999999,0.53198205,-0.00202934999999993
"Ys0...203",0.5,0,0.2,1,3.8630688,0.1627089,0.0406486500000001,0.2148417,3.8630688,0.1627089,0.0406486500000001,0.2148417,0,3.8139656,0.1627089,0.0406486500000001,0.2148417,0.0490955500000005,3.8641488,0.16311195,0.0407110500000001,0.21531165,-0.00201539999999989
"Ys0...204",0.5,0,0.2,1.5,3.8733398,0.1627089,0.0418576499999999,0.16230735,3.8733398,0.1627089,0.0418576500000003,0.16230735,-8.88178419700125e-16,3.8228082,0.1627089,0.0418576500000003,0.16230735,0.0505718000000002,3.8743984,0.16311195,0.0419173500000003,0.16295325,-0.00216724999999984
"Ys0...205",0.5,0,0.75,-1.5,3.6231235,0.16313835,0.0142642500000001,0.57332265,3.6231235,0.16313835,0.0142642500000001,0.57332265,-4.44089209850063e-16,3.6065403,0.16313835,0.0142642500000001,0.57332265,0.0165241000000007,3.6236956,0.16311195,0.0139407,0.5744724,-0.00137190000000009
"Ys0...206",0.5,0,0.75,-1,3.7157443,0.16313835,0.0246515999999999,0.53114325,3.7157443,0.16313835,0.0246515999999999,0.53114325,0,3.6865644,0.16313835,0.0246515999999999,0.53114325,0.0292579000000002,3.716123,0.16311195,0.0242705999999999,0.53198205,-0.000810099999999814
"Ys0...207",0.5,0,0.75,1,3.8638201,0.16313835,0.0409069500000001,0.2148417,3.8638201,0.16313835,0.0409069500000001,0.2148417,0,3.8145136,0.16313835,0.0409069500000001,0.2148417,0.0495571500000009,3.8641488,0.16311195,0.0407110500000001,0.21531165,-0.000576349999999781
"Ys0...208",0.5,0,0.75,1.5,3.8741131,0.16313835,0.04213245,0.16230735,3.8741131,0.16313835,0.04213245,0.16230735,-4.44089209850063e-16,3.8233412,0.16313835,0.04213245,0.16230735,0.0510869000000005,3.8743984,0.16311195,0.0419173500000003,0.16295325,-0.000689700000000126
"Ys0...209",0.5,1,-0.75,-1.5,NA,NA,NA,0.9145376,NA,NA,NA,0.9145376,NA,NA,NA,NA,0.811065,NA,3.6233506,0.26676465,-0.000296600000000424,0.91477815,NA
"Ys0...210",0.5,1,-0.75,-1,NA,NA,NA,0.8437146,NA,NA,NA,0.8437146,NA,NA,NA,NA,0.7509415,NA,3.7157232,0.28416545,-0.000614149999999647,0.84403115,NA
"Ys0...211",0.5,1,-0.75,1,NA,NA,NA,0.3171366,NA,NA,NA,0.3171366,NA,NA,NA,NA,0.303847699999999,NA,3.8638854,0.31214195,-0.00138890000000025,0.3173284,NA
"Ys0...212",0.5,1,-0.75,1.5,NA,NA,NA,0.2296036,NA,NA,NA,0.2296036,NA,NA,NA,NA,0.2295532,NA,3.8741638,0.31406925,-0.00130895000000031,0.22986615,NA
"Ys0...213",0.5,1,-0.2,-1.5,3.6226511,0.26969025,-0.00386364999999955,0.91459075,3.6226511,0.24892515,0.0200076500000002,0.91459075,-0.0031061999999995,3.6060322,0.24892515,0.0200076500000002,0.81117235,0.1167329,3.6236956,0.26665515,-0.000707999999999487,0.916203,-0.00277729999999998
"Ys0...214",0.5,1,-0.2,-1,3.7151789,0.28988325,-0.00686065000000013,0.84429175,3.7151789,0.25387415,0.0346348500000007,0.84429175,-0.00548640000000056,3.6859965,0.25387415,0.0346348500000007,0.75147455,0.116382949999998,3.716123,0.28402985,-0.000866199999999928,0.84538575,-0.00217915000000124
"Ys0...215",0.5,1,-0.2,1,3.8632029,0.32215715,-0.01210705,0.3171225,3.8632029,0.261958750000001,0.0576499500000001,0.3171225,-0.00955860000000097,3.8140036,0.261958750000001,0.0576499500000001,0.3039916,0.0528946499999989,3.8641488,0.31196035,-0.00139595000000003,0.317601750000001,-0.00193945000000095
"Ys0...216",0.5,1,-0.2,1.5,3.8734763,0.32439045,-0.0123223499999998,0.22956525,3.8734763,0.26251695,0.0593694499999993,0.22956525,-0.00981829999999917,3.8228501,0.26251695,0.0593694499999993,0.22962915,0.0409276000000016,3.8743984,0.31388405,-0.00130914999999998,0.230337749999999,-0.00220139999999969
"Ys0...217",0.5,1,0.2,-1.5,3.6225638,0.2622114,0.00349124999999972,0.91459075,3.6225638,0.2489107,0.0199616499999999,0.91459075,-0.00316969999999994,3.6060361,0.2489107,0.0199616499999999,0.81117235,0.1165322,3.6236956,0.26665515,-0.000707999999999487,0.916203,-0.00298854999999953
"Ys0...218",0.5,1,0.2,-1,3.7151186,0.276935600000001,0.00599679999999925,0.84429175,3.7151186,0.253895099999999,0.0346061000000004,0.84429175,-0.00556879999999982,3.6860358,0.253895099999999,0.0346061000000004,0.75147455,0.116172200000001,3.716123,0.28402985,-0.000866199999999928,0.84538575,-0.00232964999999963
"Ys0...219",0.5,1,0.2,1,3.8630688,0.3005211,0.00934655000000006,0.3171225,3.8630688,0.2619024,0.0575348500000006,0.3171225,-0.00956960000000073,3.8139656,0.2619024,0.0575348500000006,0.3039916,0.0526724500000011,3.8641488,0.31196035,-0.00139595000000003,0.317601750000001,-0.00225600000000004
"Ys0...220",0.5,1,0.2,1.5,3.8733398,0.3021481,0.00973455000000012,0.22956525,3.8733398,0.2624567,0.0592565499999997,0.22956525,-0.00983059999999902,3.8228082,0.2624567,0.0592565499999997,0.22962915,0.0407078000000016,3.8743984,0.31388405,-0.00130914999999998,0.230337749999999,-0.0025233499999997
"Ys0...221",0.5,1,0.75,-1.5,3.6231235,0.252579949999999,0.0138637500000005,0.91459075,3.6231235,0.24955805,0.0201224499999997,0.91459075,-0.00323679999999982,3.6065403,0.24955805,0.0201224499999997,0.81117235,0.1166814,3.6236956,0.26665515,-0.000707999999999487,0.916203,-0.00168779999999913
"Ys0...222",0.5,1,0.75,-1,3.7157443,0.25985575,0.0239001999999999,0.84429175,3.7157443,0.25456685,0.034808,0.84429175,-0.00561889999999998,3.6865644,0.25456685,0.034808,0.75147455,0.116421099999998,3.716123,0.28402985,-0.000866199999999928,0.84538575,-0.000880400000001114
"Ys0...223",0.5,1,0.75,1,3.8638201,0.271506649999999,0.0393415500000005,0.3171225,3.8638201,0.26259355,0.0578401500000005,0.3171225,-0.00958550000000091,3.8145136,0.26259355,0.0578401500000005,0.3039916,0.0531651499999999,3.8641488,0.31196035,-0.00139595000000003,0.317601750000001,-0.000524150000001278
"Ys0...224",0.5,1,0.75,1.5,3.8741131,0.272316249999999,0.0405744500000003,0.22956525,3.8741131,0.26313285,0.0595890499999996,0.22956525,-0.00983119999999982,3.8233412,0.26313285,0.0595890499999996,0.22962915,0.0412800000000004,3.8743984,0.31388405,-0.00130914999999998,0.230337749999999,-0.000741999999999798
"Ys0...225",0.5,1.5,-0.75,-1.5,NA,NA,NA,1.0852392,NA,NA,NA,1.0852392,NA,NA,NA,NA,0.9300303,NA,3.6233506,0.3185094,-0.00749445000000026,1.08544905,NA
