"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...11",-1.5,1,-0.2,0,-1.5,0.9873286,0.912911,0.866102,0.9087605,0.8158252,0.9856086,0.900283,0.8688527,0.8691441,0.8936271,0.8161498,0.9872967,0.9131053,0.8686937,0.9086983,0.8159452,0.0744176,0.046809,-0.0426584999999999,0.0929352999999999,0.0744176,0.0314303,-0.024483,0.0929352999999999,-0.00279679999999993,0.0153787,0.00250539999999999,1.0272798,0.8814807,0.4176703,0.373612,1.024483,0.8842775,0.4348412,0.3952248,0.0853255999999999,0.0314303,-0.024483,0.0774773,0.00204460000000006,0.0153787,0.0741914,0.0444116,-0.0400045999999999,0.0927530999999999,0.000151899999999983,0.00239739999999999
"Ys0...12",-1.5,1,-0.2,0.5,-1.5,0.9876868,0.9149901,0.8674024,0.9135593,0.8445331,0.9858582,0.9013088,0.8703683,0.8706738,0.8971778,0.8373725,0.9876738,0.9151587,0.8702332,0.9134073,0.8446436,0.0726966999999999,0.0475877,-0.0461568999999999,0.0690261999999999,0.0726966999999999,0.0309405,-0.026504,0.0690261999999999,-0.0030057,0.0166472,0.00270019999999993,1.0295097,0.8840496,0.412024,0.3674022,1.026504,0.8870553,0.4214113,0.3785258,0.0845494,0.0309405,-0.026504,0.0598053000000001,-0.00533200000000011,0.0166472,0.0725151000000001,0.0449255,-0.0431741,0.0687637,0.000123499999999943,0.00266220000000006
"Ys0...13",-1.5,1,-0.2,1,-1.5,0.9879225,0.9162764,0.868225,0.9165463,0.8674235,0.9860236,0.9019517,0.8713378,0.87163,0.8993973,0.8544081,0.9879034,0.9164365,0.8711729,0.9164052,0.8674638,0.0716461,0.0480514,-0.0483213,0.0491228,0.0716461,0.0306139,-0.0277672999999999,0.0491228,-0.00311650000000008,0.0174375,0.00282430000000011,1.0306139,0.8856625,0.4084824,0.3635438,1.0274974,0.888779,0.4130291,0.3681128,0.0840719,0.0306139,-0.0277672999999999,0.0449892,-0.0111165,0.0174375,0.0714669,0.0452636,-0.0452323,0.0489414,5.94000000000428e-05,0.00278780000000001
"Ys0...14",-1.5,1,-0.2,1.5,-1.5,0.9880608,0.9170887,0.8687414,0.9183789,0.8841376,0.9861213,0.9023527,0.8719415,0.872225,0.900742,0.8667872,0.9880451,0.9172293,0.8717656,0.9182249,0.8841157,0.0709721,0.0483473,-0.0496375,0.0342413,0.0709721,0.0304112,-0.028517,0.0342413,-0.00318439999999998,0.0179361,0.00290089999999998,1.0304112,0.8866775,0.4062644,0.3611172,1.0272268,0.8898619,0.4079121,0.3617582,0.0837686,0.0304112,-0.028517,0.0339548000000001,-0.0154109,0.0179361,0.0708158,0.0454637,-0.0464593,0.0341092000000001,-6.20000000006726e-06,0.00288359999999999
"Ys0...15",-1.5,1,0.2,-1.5,-1.5,0.9846397,0.8974612,0.8584543,0.8729325,0.7226511,0.9837507,0.8926092,0.8573805,0.8576983,0.8671434,0.7466046,0.9846005,0.8976541,0.857281,0.8730127,0.7225243,0.0871785,0.0390069,-0.0144782,0.1502814,0.0871785,0.0352287,-0.00944509999999998,0.1502814,-0.00125490000000006,0.00377819999999995,0.000937100000000024,1.0107,0.8622325,0.4599399,0.4198592,1.0094451,0.8634874,0.5350824,0.5198482,0.0911415,0.0352287,-0.00944509999999998,0.1205388,0.0248425,0.00377819999999995,0.0869464,0.0403731000000001,-0.0157317,0.1504884,-8.75999999999655e-05,-0.0013662000000001
"Ys0...16",-1.5,1,0.2,-1,-1.5,0.9859107,0.9046881,0.8646319,0.8896612,0.751359,0.9846282,0.8962075,0.8627726,0.8630386,0.8795433,0.7678273,0.9858714,0.9048838,0.8626049,0.8896889,0.7512227,0.0812226,0.0400562,-0.0250293,0.1383022,0.0812226,0.0334349,-0.0165047,0.1383022,-0.00190330000000005,0.00662129999999994,0.00163730000000006,1.018408,0.8712532,0.4401243,0.3982088,1.0165047,0.8731565,0.4882136,0.461591,0.0884206999999999,0.0334349,-0.0165047,0.111716,0.0177508000000001,0.00662129999999994,0.0809875999999999,0.0422789,-0.027084,0.1384662,-9.69999999999027e-05,-0.00222270000000002
"Ys0...17",-1.5,1,0.2,-0.5,-1.5,0.9867806,0.9096716,0.8688544,0.9011489,0.7836338,0.9852263,0.8987014,0.8664453,0.8666785,0.8880336,0.7919087,0.9867364,0.9098254,0.8662795,0.9011598,0.7836138,0.077109,0.0408172,-0.0322945,0.1175151,0.077109,0.0322561,-0.0213551,0.1175151,-0.00237830000000006,0.00856109999999999,0.00214510000000001,1.0237334,0.8774155,0.4264803,0.383254,1.0213551,0.8797938,0.4561054,0.421635,0.0865249,0.0322561,-0.0213551,0.0961249,0.00982919999999998,0.00856109999999999,0.076911,0.0435459,-0.0348803,0.117546,2.42000000000298e-05,-0.00272870000000003
"Ys0...18",-1.5,1,0.2,0,-1.5,0.9873592,0.9129023,0.8716253,0.9087605,0.8158252,0.9856192,0.9003201,0.8688527,0.869082,0.8936271,0.8161498,0.9872967,0.9131053,0.8686937,0.9086983,0.8159452,0.0744568999999999,0.041277,-0.0371351999999999,0.0929352999999999,0.0744568999999999,0.0314673999999999,-0.0245451,0.0929352999999999,-0.00278049999999985,0.00980960000000008,0.00255119999999986,1.0273256,0.8814349,0.4176048,0.3735552,1.0245451,0.8842154,0.4349033,0.3952248,0.0852991000000001,0.0314673999999999,-0.0245451,0.0774773,0.00206459999999997,0.00980960000000008,0.0741914,0.0444116,-0.0400045999999999,0.0927530999999999,0.000182499999999974,-0.00313459999999999
"Ys0...19",-1.5,1,0.2,0.5,-1.5,0.9877195,0.9149716,0.8733818,0.9135593,0.8445331,0.9858682,0.9013681,0.8703683,0.8706007,0.8971778,0.8373725,0.9876738,0.9151587,0.8702332,0.9134073,0.8446436,0.0727479,0.0415898,-0.0401775,0.0690261999999999,0.0727479,0.0309998,-0.0265771,0.0690261999999999,-0.00301039999999997,0.01059,0.00277799999999995,1.0295875,0.8839718,0.4119239,0.3673206,1.0265771,0.8869822,0.4214844,0.3785258,0.0845001,0.0309998,-0.0265771,0.0598053000000001,-0.00530930000000007,0.01059,0.0725151000000001,0.0449255,-0.0431741,0.0687637,0.00015619999999994,-0.00333569999999994
"Ys0...20",-1.5,1,0.2,1,-1.5,0.9879557,0.9162682,0.8744945,0.9165463,0.8674235,0.9860327,0.9020205,0.8713378,0.8715634,0.8993973,0.8544081,0.9879034,0.9164365,0.8711729,0.9164052,0.8674638,0.0716875,0.0417737,-0.0420518000000001,0.0491228,0.0716875,0.0306827,-0.0278339,0.0491228,-0.00312690000000004,0.0110910000000001,0.00290130000000011,1.0306827,0.8855855,0.408353,0.3634226,1.0275558,0.8887124,0.4130957,0.3681128,0.0840122,0.0306827,-0.0278339,0.0449892,-0.0110924,0.0110910000000001,0.0714669,0.0452636,-0.0452323,0.0489414,9.25999999999982e-05,-0.00348989999999993
