"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...252",1.5,-1.5,0.2,1.5,0.0488136,-0.016157,0.0289356,0.0247796,0.0488136,-0.00898779999999999,0.00926309999999997,0.0247796,0.0125033,0.0422798,-0.00898779999999999,0.00926309999999997,0.0157772,0.0279691,0.048948,-0.0192536,0.0318801,0.0248391,-4.17999999999807e-05
"Ys0...253",1.5,-1.5,0.75,-1.5,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,0.1141184,NA,0.0475166,-0.00144180000000005,0.0141471,0.0249033000000001,NA
"Ys0...254",1.5,-1.5,0.75,-1,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,0.0896925000000001,NA,0.0482980000000001,-0.0099013,0.0226065999999999,0.0249033000000001,NA
"Ys0...255",1.5,-1.5,0.75,1,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,0.0216360999999999,NA,0.0487573,-0.0188831,0.0315884,0.0249033000000001,NA
"Ys0...256",1.5,-1.5,0.75,1.5,NA,NA,NA,0.0246897,NA,NA,NA,0.0246897,NA,NA,NA,NA,0.0159227000000001,NA,0.0487625,-0.0191665000000001,0.0318718,0.0249033000000001,NA
"Ys0...257",1.5,-1,-0.75,-1.5,NA,NA,NA,0.0605694,NA,NA,NA,0.0605694,NA,NA,NA,NA,0.1384632,NA,0.0280828,0.00469330000000001,0.0137374,0.0606902,NA
"Ys0...258",1.5,-1,-0.75,-1,NA,NA,NA,0.0534218000000001,NA,NA,NA,0.0534218000000001,NA,NA,NA,NA,0.1095018,NA,0.0242829999999999,-0.0018918,0.0217524,0.0536059,NA
"Ys0...259",1.5,-1,-0.75,1,NA,NA,NA,0.0360463000000001,NA,NA,NA,0.0360463000000001,NA,NA,NA,NA,0.0308191,NA,0.01364,-0.00667379999999995,0.0297750999999999,0.0361189000000001,NA
"Ys0...260",1.5,-1,-0.75,1.5,NA,NA,NA,0.0336494000000001,NA,NA,NA,0.0336494000000001,NA,NA,NA,NA,0.0235235,NA,0.0121886999999999,-0.0064169999999999,0.029944,0.0336827,NA
"Ys0...261",1.5,-1,-0.2,-1.5,0.0281504,0.00355190000000005,0.0147950999999999,0.0606196999999999,0.0281504,0.0084554,0.00518950000000007,0.0606196999999999,0.00470209999999993,0.0269927,0.0084554,0.00518950000000007,0.1385739,-0.0720888000000001,0.0282771000000001,0.00449129999999998,0.0137271999999999,0.0606642000000001,-4.27000000000621e-05
