"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"38",38,-1.5,-0.25,-0.2,-1,-0.00493880000000013,-0.1016102,0.000194600000000045,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"39",39,-1.5,-0.25,-0.2,1,-0.00567879999999998,-0.0447253000000001,0.000197899999999973,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"40",40,-1.5,-0.25,-0.2,1.5,-0.00444670000000003,-0.036642,0.00015480000000001,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"41",41,-1.5,-0.25,0.2,-1.5,-0.00177290000000008,-0.1206718,8.37999999999672e-05,3,1,2,4,3,1,2,4,4,1,2,3,2,1,3,4
"42",42,-1.5,-0.25,0.2,-1,-0.00489129999999993,-0.1016054,-5.59999999993899e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",43,-1.5,-0.25,0.2,1,-0.0053204,-0.0444123999999999,0.000164900000000134,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"44",44,-1.5,-0.25,0.2,1.5,-0.00410470000000007,-0.0363361,8.3200000000061e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"45",45,-1.5,-0.25,0.75,-1.5,-0.00163419999999992,-0.1206405,0.000131900000000074,3,1,2,4,3,1,2,4,4,1,2,3,2,1,3,4
"46",46,-1.5,-0.25,0.75,-1,-0.00498509999999996,-0.101485,8.33000000000084e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"47",47,-1.5,-0.25,0.75,1,-0.00524490000000011,-0.0444115999999999,0.000124100000000071,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"48",48,-1.5,-0.25,0.75,1.5,-0.00387139999999997,-0.0363216000000001,4.83000000000011e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"49",49,-1.5,0.25,-0.75,-1.5,0.00563210000000014,-0.1051783,7.45999999999247e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"50",50,-1.5,0.25,-0.75,-1,0.00847100000000001,-0.0837617000000001,-6.29000000000879e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"51",51,-1.5,0.25,-0.75,1,0.00924349999999996,-0.0328183,7.74000000000052e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"52",52,-1.5,0.25,-0.75,1.5,0.00962530000000017,-0.0269893,-3.8399999999994e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"53",53,-1.5,0.25,-0.2,-1.5,0.00552170000000007,-0.1049923,0.000191699999999906,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"54",54,-1.5,0.25,-0.2,-1,0.0084565000000002,-0.0834805000000001,0.000242899999999935,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"55",55,-1.5,0.25,-0.2,1,0.00923039999999997,-0.0326493999999999,0.000247800000000131,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"56",56,-1.5,0.25,-0.2,1.5,0.00944729999999994,-0.0267978,0.000180100000000016,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"57",57,-1.5,0.25,0.2,-1.5,0.00509249999999994,-0.1052689,8.00000000023005e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"58",58,-1.5,0.25,0.2,-1,0.00835859999999999,-0.0836051000000001,1.31999999999355e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"59",59,-1.5,0.25,0.2,1,0.00962419999999997,-0.0323880999999999,0.000222100000000114,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"60",60,-1.5,0.25,0.2,1.5,0.00985060000000004,-0.0265538,0.000125800000000065,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"61",61,-1.5,0.25,0.75,-1.5,0.00556909999999999,-0.1049886,0.000231899999999952,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"62",62,-1.5,0.25,0.75,-1,0.00856459999999992,-0.0835598000000001,6.37999999999472e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"63",63,-1.5,0.25,0.75,1,0.00969920000000002,-0.0324864,0.00010280000000007,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"64",64,-1.5,0.25,0.75,1.5,0.0100443,-0.0266102,3.52999999999604e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"65",65,-1.5,0.5,-0.75,-1.5,0.00795940000000006,-0.0956536,6.04000000000715e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"66",66,-1.5,0.5,-0.75,-1,0.0129422,-0.074103,-2.15000000000076e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"67",67,-1.5,0.5,-0.75,1,0.0150233,-0.0271233999999999,6.51999999999875e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"68",68,-1.5,0.5,-0.75,1.5,0.0149950999999999,-0.0224219,-5.39999999998875e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"69",69,-1.5,0.5,-0.2,-1.5,0.00768989999999992,-0.0956046,0.00017250000000002,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"70",70,-1.5,0.5,-0.2,-1,0.0128573,-0.0739616,0.000228800000000029,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"71",71,-1.5,0.5,-0.2,1,0.0149903000000001,-0.0269826,0.000200399999999989,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"72",72,-1.5,0.5,-0.2,1.5,0.0148310999999999,-0.0221998999999999,0.000157200000000079,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"73",73,-1.5,0.5,0.2,-1.5,0.00730259999999983,-0.0956543,1.68999999999864e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"74",74,-1.5,0.5,0.2,-1,0.0127054000000001,-0.0739206000000001,2.48999999999944e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"75",75,-1.5,0.5,0.2,1,0.0151982999999999,-0.0267285,0.000160399999999949,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"76",76,-1.5,0.5,0.2,1.5,0.0150843999999999,-0.0220016000000001,6.89999999999857e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"77",77,-1.5,0.5,0.75,-1.5,0.00779889999999994,-0.0954214,0.000169399999999986,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"78",78,-1.5,0.5,0.75,-1,0.0128898000000001,-0.0738694000000001,0.000122399999999967,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"79",79,-1.5,0.5,0.75,1,0.0153671,-0.0266307,0.000122799999999978,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"80",80,-1.5,0.5,0.75,1.5,0.0153137000000001,-0.0219028,5.37000000000454e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"81",81,-1.5,1.25,-0.75,-1.5,0.00964700000000007,-0.0666501,4.76999999999839e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"82",82,-1.5,1.25,-0.75,-1,0.0177067,-0.0472191,1.56999999999519e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"83",83,-1.5,1.25,-0.75,1,0.0239601,-0.0128510000000001,1.51000000000456e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"84",84,-1.5,1.25,-0.75,1.5,0.0233922999999999,-0.0111763,-1.23000000000761e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"85",85,-1.5,1.25,-0.2,-1.5,0.00963289999999994,-0.0666194,9.25999999999982e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"86",86,-1.5,1.25,-0.2,-1,0.0176330000000001,-0.0471787,0.000186200000000025,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"87",87,-1.5,1.25,-0.2,1,0.0240449,-0.0126904,0.000203500000000023,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"88",88,-1.5,1.25,-0.2,1.5,0.0233763,-0.0110146,0.000212499999999949,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"89",89,-1.5,1.25,0.2,-1.5,0.00935169999999996,-0.0667277000000001,-0.000173400000000101,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"90",90,-1.5,1.25,0.2,-1,0.0176518,-0.0469746,1.22000000000178e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"91",91,-1.5,1.25,0.2,1,0.0241702000000001,-0.0123863999999999,0.000131800000000015,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"92",92,-1.5,1.25,0.2,1.5,0.0235884999999999,-0.0107470000000001,0.000107399999999869,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"93",93,-1.5,1.25,0.75,-1.5,0.0098376,-0.0665917,-6.86000000000853e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"94",94,-1.5,1.25,0.75,-1,0.0178746000000001,-0.0470581,0.000132299999999974,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"95",95,-1.5,1.25,0.75,1,0.0244236999999999,-0.0124485,0.000112400000000012,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"96",96,-1.5,1.25,0.75,1.5,0.0238466000000001,-0.0107447000000001,0.000119199999999986,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"97",97,-0.5,-1.25,-0.75,-1.5,-0.00626880000000007,-0.0698890999999999,-0.000103599999999981,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"98",98,-0.5,-1.25,-0.75,-1,-0.0131204,-0.0747843999999999,-6.17999999998897e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"99",99,-0.5,-1.25,-0.75,1,-0.0236978000000001,-0.0417123999999999,-2.93999999999572e-05,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"100",100,-0.5,-1.25,-0.75,1.5,-0.0240781999999999,-0.0345158000000001,-0.000114800000000082,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"101",101,-0.5,-1.25,-0.2,-1.5,-0.00628819999999997,-0.0698723999999999,-8.01999999999747e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"102",102,-0.5,-1.25,-0.2,-1,-0.0130793,-0.0747933000000001,-9.1999999999981e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"103",103,-0.5,-1.25,-0.2,1,-0.0235805,-0.0416284,3.92999999999644e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"104",104,-0.5,-1.25,-0.2,1.5,-0.0240517,-0.0344598,-2.560000000007e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"105",105,-0.5,-1.25,0.2,-1.5,-0.00631959999999998,-0.06969,-1.42000000000753e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"106",106,-0.5,-1.25,0.2,-1,-0.0131021000000001,-0.0747930999999999,-8.02999999999221e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"107",107,-0.5,-1.25,0.2,1,-0.0235,-0.0417780000000001,-7.48000000000415e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"108",108,-0.5,-1.25,0.2,1.5,-0.0239144000000001,-0.0345855,-0.000156400000000056,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"109",109,-0.5,-1.25,0.75,-1.5,-0.00635340000000006,-0.0696536,9.90000000000713e-06,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"110",110,-0.5,-1.25,0.75,-1,-0.0130239999999999,-0.0747909,-7.97999999999632e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"111",111,-0.5,-1.25,0.75,1,-0.0234368000000001,-0.0418355,-0.000167099999999976,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"112",112,-0.5,-1.25,0.75,1.5,-0.0238705,-0.0346552,-0.000223300000000037,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,2
"113",113,-0.5,-0.5,-0.75,-1.5,-0.00422500000000003,-0.0684209,-7.46000000000357e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"114",114,-0.5,-0.5,-0.75,-1,-0.00906270000000009,-0.0697965,-7.23000000000251e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"115",115,-0.5,-0.5,-0.75,1,-0.0171675999999999,-0.0409522000000001,-0.000100899999999959,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"116",116,-0.5,-0.5,-0.75,1.5,-0.0175421,-0.0352716999999999,-0.000173599999999996,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"117",117,-0.5,-0.5,-0.2,-1.5,-0.00420869999999995,-0.0683963999999999,-2.17000000000134e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"118",118,-0.5,-0.5,-0.2,-1,-0.0090133,-0.0698361999999999,-9.44999999999974e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
