"","a1","g6","rho","beta2","g2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...11",-1.5,1,-0.2,0,-1.5,0.9724498,0.927235,0.8725821,0.9583111,0.7265578,0.9672935,0.9057535,0.8772821,0.877285,0.932839,0.7265617,0.972449,0.9269644,0.8772452,0.9584848,0.7265899,0.0452148,0.0546529,-0.0857289999999999,0.2317533,0.0452148,0.0284714,-0.055554,0.2317533,-0.00399349999999998,0.0261815,0.00399059999999996,1.0284714,0.8987636,0.3839759,0.334023,1.0244779,0.9027571,0.2987259,0.2176998,0.06154,0.0284714,-0.055554,0.2062773,0.00516019999999995,0.0261815,0.0454846,0.0497192000000001,-0.0812396000000001,0.2318949,3.29000000000024e-05,0.00493369999999993
"Ys0...12",-1.5,1,-0.2,0.5,-1.5,0.9725745,0.9286943,0.8738725,0.9617085,0.810171,0.967282,0.9067888,0.8785496,0.8786666,0.9357507,0.794116,0.9725415,0.9285406,0.8785736,0.9616877,0.8102755,0.0438802,0.0548217999999999,-0.0878359999999999,0.1515375,0.0438802,0.0282391999999999,-0.0570841000000001,0.1515375,-0.00416929999999982,0.0265826,0.0040522999999999,1.0282392,0.9004551,0.3791785,0.3290338,1.0240699,0.9046244,0.2881235,0.2050816,0.0604932,0.0282391999999999,-0.0570841000000001,0.1416347,-0.0107624999999999,0.0265826,0.0440008999999999,0.0499670000000001,-0.0831141000000001,0.1514122,0.000137500000000124,0.00485479999999983
"Ys0...13",-1.5,1,-0.2,1,-1.5,0.9726087,0.9290192,0.8742934,0.9629448,0.8698664,0.9674052,0.9073951,0.8791142,0.8791452,0.9369212,0.8410968,0.9726168,0.9290091,0.8791468,0.9630151,0.8699612,0.0435894999999999,0.0547258,-0.0886514,0.0930784,0.0435894999999999,0.0282809000000001,-0.057776,0.0930784,-0.0044305,0.0264449,0.0043995,1.0282809,0.9007383,0.3770764,0.3271714,1.0238504,0.9051688,0.2840676,0.200268,0.0600101,0.0282809000000001,-0.057776,0.0958244,-0.0235661,0.0264449,0.0436076999999999,0.0498623,-0.0838683,0.0930539,8.66999999999951e-05,0.00486350000000002
"Ys0...14",-1.5,1,-0.2,1.5,-1.5,0.972569,0.929342,0.8745621,0.963324,0.9061657,0.9674251,0.9076075,0.8791963,0.8792072,0.9374265,0.8697484,0.9725824,0.9291944,0.8792892,0.9633643,0.9060759,0.043227,0.0547799,-0.0887618999999999,0.0571583,0.043227,0.0284112,-0.0582193000000001,0.0571583,-0.00417389999999984,0.0263687,0.00416299999999992,1.0284112,0.9009308,0.3762467,0.326101,1.0242373,0.9051047,0.2826158,0.198499,0.0598176,0.0284112,-0.0582193000000001,0.0676781000000001,-0.0312734,0.0263687,0.043388,0.0499052,-0.0840751,0.0572883999999999,-0.000103199999999859,0.00487470000000001
"Ys0...15",-1.5,1,0.2,-1.5,-1.5,0.9649243,0.8996713,0.8577656,0.8946728,0.4446907,0.9626529,0.8891631,0.8554415,0.8555152,0.8822116,0.4716465,0.9649168,0.8996044,0.8553682,0.8947033,0.4444824,0.065253,0.0419056999999999,-0.0369072,0.4499821,0.065253,0.0337216,-0.0266964,0.4499821,-0.00202670000000016,0.00818409999999992,0.00195300000000009,1.0287231,0.8659497,0.466561,0.4223312,1.0266964,0.8679764,0.4853888,0.4462312,0.0734898,0.0337216,-0.0266964,0.4105651,0.0292272,0.00818409999999992,0.0653124,0.0442361999999999,-0.0393351,0.4502209,-0.000200800000000056,-0.00233050000000001
"Ys0...16",-1.5,1,0.2,-1,-1.5,0.9701437,0.9152826,0.8714715,0.9308813,0.5281873,0.9657383,0.8982865,0.8677773,0.8678125,0.9107467,0.5542392,0.9701238,0.9152479,0.8676884,0.9309133,0.528136,0.0548611000000001,0.0438111,-0.0594098000000001,0.402694,0.0548611000000001,0.0305092,-0.0429342,0.402694,-0.00317370000000006,0.0133019,0.00313850000000004,1.0305092,0.8847734,0.4203671,0.3728618,1.0273355,0.8879471,0.3798128,0.316744,0.0674518000000001,0.0305092,-0.0429342,0.3565075,0.0304573,0.0133019,0.0548759,0.0475595,-0.0632249,0.4027773,-3.13999999999037e-05,-0.00374839999999999
"Ys0...17",-1.5,1,0.2,-0.5,-1.5,0.9719288,0.9234213,0.8786337,0.9497827,0.6273843,0.9668882,0.9032349,0.8742849,0.8743273,0.9257544,0.6431888,0.9719026,0.9233456,0.8741934,0.9498164,0.6273607,0.0485075,0.0447876,-0.071149,0.3223984,0.0485075,0.0289499999999999,-0.0514270999999999,0.3223984,-0.00388429999999995,0.0158376000000001,0.00384189999999995,1.02895,0.8944713,0.395824,0.3466876,1.0250657,0.8983556,0.3243812,0.2489258,0.0636533,0.0289499999999999,-0.0514270999999999,0.2825656,0.0208451000000001,0.0158376000000001,0.048557,0.0491522,-0.075623,0.3224557,2.60000000007476e-06,-0.00436459999999994
"Ys0...18",-1.5,1,0.2,0,-1.5,0.9724757,0.9271583,0.8819911,0.9583252,0.7264698,0.9672769,0.9056916,0.8771803,0.877283,0.9327929,0.7265978,0.97251,0.9270554,0.8772542,0.9583597,0.7268309,0.0453174000000001,0.0451672,-0.0763341,0.2318554,0.0453174000000001,0.0285113,-0.0555099,0.2318554,-0.00416830000000001,0.0166558999999999,0.0040656,1.0285113,0.898647,0.3842782,0.3343002,1.024343,0.9028153,0.298806,0.2177638,0.0615853,0.0285113,-0.0555099,0.2061951,0.00532679999999996,0.0166558999999999,0.0454546,0.0498012,-0.0811055000000001,0.2315288,0.00032679999999996,-0.00463400000000003
"Ys0...19",-1.5,1,0.2,0.5,-1.5,0.9725989,0.9286403,0.8833594,0.9617754,0.8103852,0.9673565,0.9067385,0.8785583,0.8786319,0.9358124,0.7940921,0.9725917,0.9284733,0.8785956,0.96172,0.8102218,0.0439586000000001,0.0452809,-0.0784159999999999,0.1513902,0.0439586000000001,0.0281802,-0.0571805,0.1513902,-0.00413479999999999,0.0171007,0.00406119999999999,1.0281802,0.9004601,0.3793244,0.3292424,1.0240454,0.9045949,0.2879679,0.2048244,0.0606179999999999,0.0281802,-0.0571805,0.1417203,-0.0110507,0.0171007,0.0441184,0.0498776999999999,-0.0831244,0.1514982,-0.00015619999999994,-0.00459679999999996
"Ys0...20",-1.5,1,0.2,1,-1.5,0.9726149,0.9292156,0.8838888,0.9628885,0.8699023,0.9674092,0.9073464,0.8790227,0.8790729,0.9369679,0.8412542,0.9725654,0.9290717,0.8790975,0.9629537,0.8698625,0.0433992999999999,0.0453268,-0.0789997,0.0929862,0.0433992999999999,0.0283237,-0.0578949999999999,0.0929862,-0.00410160000000004,0.0170031,0.00405140000000004,1.0283237,0.9008919,0.3770689,0.326876,1.0242221,0.9049935,0.2841028,0.2002872,0.0600628,0.0283237,-0.0578949999999999,0.0957137,-0.0234424000000001,0.0170031,0.0434937000000001,0.0499742,-0.0838562,0.0930912,9.69999999989035e-06,-0.00464739999999997
"Ys0...21",-1.5,1,0.2,1.5,-1.5,0.9726143,0.9293754,0.8840453,0.9632746,0.9060511,0.9674013,0.9076521,0.8792803,0.8791801,0.9374564,0.8698574,0.9725707,0.9291855,0.8792758,0.9633415,0.906146,0.0432389000000001,0.0453300999999999,-0.0792292999999999,0.0572235,0.0432389000000001,0.0283717999999999,-0.0582762999999999,0.0572235,-0.00399470000000002,0.0169583,0.00409490000000001,1.0283718,0.9010036,0.3760401,0.325945,1.0243771,0.9049983,0.2826325,0.198538,0.0597492000000001,0.0283717999999999,-0.0582762999999999,0.067599,-0.0309807,0.0169583,0.0433852,0.0499096999999999,-0.0840656999999999,0.0571955,0.000138500000000041,-0.00457960000000002
"Ys0...22",-1.5,1,0.75,-1.5,-1.5,NA,NA,NA,0.8947263,0.4448185,NA,NA,0.8553181,NA,0.8821713,0.4718753,0.9650412,0.8998003,0.8554584,0.8946931,0.4446136,NA,NA,NA,0.4499078,NA,NA,NA,0.4499078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410296,NA,NA,0.0652409,0.0443419,-0.0392347000000001,0.4500795,NA,NA
"Ys0...23",-1.5,1,0.75,-1,-1.5,NA,NA,NA,0.9310829,0.5284407,NA,NA,0.8676086,NA,0.9107029,0.5544083,0.9702144,0.9155113,0.8677553,0.9309572,0.5283782,NA,NA,NA,0.4026422,NA,NA,NA,0.4026422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3562946,NA,NA,0.0547031,0.047756,-0.0632019,0.402579,NA,NA
"Ys0...24",-1.5,1,0.75,-0.5,-1.5,NA,NA,NA,0.9498503,0.627599,NA,NA,0.8742381,NA,0.9258661,0.6433419,0.9720498,0.9235871,0.8743222,0.9498247,0.6272432,NA,NA,NA,0.3222513,NA,NA,NA,0.3222513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2825242,NA,NA,0.0484627,0.0492648999999999,-0.0755024999999999,0.3225815,NA,NA
"Ys0...25",-1.5,1,0.75,0,-1.5,NA,NA,NA,0.9584382,0.72666,NA,NA,0.8771191,NA,0.9328782,0.7265726,0.972489,0.927127,0.8770785,0.9584063,0.7264918,NA,NA,NA,0.2317782,NA,NA,NA,0.2317782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2063056,NA,NA,0.045362,0.0500485000000001,-0.0813278000000001,0.2319145,NA,NA
"Ys0...26",-1.5,1,0.75,0.5,-1.5,NA,NA,NA,0.9617801,0.810308,NA,NA,0.8783687,NA,0.9358097,0.7940595,0.9726374,0.9286098,0.8785374,0.9616762,0.810216,NA,NA,NA,0.1514721,NA,NA,NA,0.1514721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1417502,NA,NA,0.0440275999999999,0.0500724,-0.0831388,0.1514602,NA,NA
"Ys0...27",-1.5,1,0.75,1,-1.5,NA,NA,NA,0.9629287,0.8700001,NA,NA,0.8789734,NA,0.9370485,0.8412798,0.9726459,0.929022,0.8790434,0.9630246,0.8698238,NA,NA,NA,0.0929285999999999,NA,NA,NA,0.0929285999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0957686999999999,NA,NA,0.0436238999999999,0.0499786,-0.0839812,0.0932008,NA,NA
"Ys0...28",-1.5,1,0.75,1.5,-1.5,NA,NA,NA,0.9633635,0.9063356,NA,NA,0.8791368,NA,0.9374574,0.8697931,0.972582,0.9292864,0.8792172,0.9634756,0.9061262,NA,NA,NA,0.0570279,NA,NA,NA,0.0570279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0676643,NA,NA,0.0432956,0.0500691999999999,-0.0842584,0.0573494,NA,NA
"Ys0...29",-1.5,1,-0.75,-1.5,-1,0.9665659,0.9069747,0.8737323,0.9116771,0.4754993,0.9659073,0.8997109,0.8796676,0.8798001,0.9029092,0.5044667,0.9665499,0.9070112,0.87964,0.9117432,0.4753902,0.0595912,0.0332424,-0.0379448,0.4361778,0.0595912,0.0200433,-0.0231091,0.4361778,-0.00163659999999999,0.0131991,0.00150410000000001,1.0200433,0.8869314,0.4139359,0.3866288,1.0184067,0.888568,0.4027044,0.3708274,0.0661964,0.0200433,-0.0231091,0.3984425,0.029626,0.0131991,0.0595386999999999,0.0273712,-0.0321032,0.436353,-9.31000000000126e-05,0.00587119999999997
"Ys0...30",-1.5,1,-0.75,-1,-1,0.9707339,0.9192692,0.8806725,0.9401266,0.5668868,0.9687098,0.9078969,0.8898982,0.8900648,0.9265467,0.5919225,0.9707186,0.9191965,0.8898649,0.94017,0.5666235,0.0514647,0.0385967,-0.0594541000000001,0.3732398,0.0514647,0.0179987,-0.0364819,0.3732398,-0.0023742000000001,0.020598,0.00220760000000009,1.0179987,0.9012705,0.3750388,0.3456678,1.0156245,0.9036447,0.3167152,0.2666534,0.0608128999999999,0.0179987,-0.0364819,0.3346242,0.0270598000000001,0.020598,0.0515221,0.0293316,-0.0503051,0.3735465,-0.000248000000000026,0.00926510000000003
