"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...111",-0.5,-1,0.75,1,-5.49849932656271,0.500731621548778,0.99939854433235,0.2505200256995,0.750873997289514,1.50203473578085,0.00228221985848687
"Ys1...112",-0.5,-1,0.75,1.5,-5.99840445451342,0.500731621548778,1.12427009993697,0.250578494865312,0.876019663504432,1.75237385841099,0.00266258983490242
"Ys1...113",-0.5,0,-0.75,-1.5,-3.00045434014214,-2.25063092276102,0.749930084113311,0.749930084113311,0.374965042056655,0.374965042056655,0
"Ys1...114",-0.5,0,-0.75,-1,-3.50079781939067,-2.25063092276102,0.749930084113311,0.749930084113311,0.749930084113311,0.74993008411331,0
"Ys1...115",-0.5,0,-0.75,1,-5.50217173638478,-2.25063092276102,0.749930084113311,0.749930084113311,2.24979025233993,2.24979025233993,0
"Ys1...116",-0.5,0,-0.75,1.5,-6.00251521563331,-2.25063092276102,0.74993008411331,0.749930084113311,2.62475529439659,2.62475529439659,0
"Ys1...117",-0.5,0,-0.2,-1.5,-3.00092618062881,-2.25119580243148,0.749942104145453,0.749942104145453,0.374971052072727,0.374971052072727,8.88178419700125e-16
"Ys1...118",-0.5,0,-0.2,-1,-3.501274789865,-2.25119580243148,0.749942104145453,0.749942104145453,0.749942104145454,0.749942104145453,0
"Ys1...119",-0.5,0,-0.2,1,-5.50266922680977,-2.25119580243148,0.749942104145453,0.749942104145454,2.24982631243636,2.24982631243636,0
"Ys1...120",-0.5,0,-0.2,1.5,-6.00301783604596,-2.25119580243148,0.749942104145454,0.749942104145454,2.62479736450909,2.62479736450909,-8.88178419700125e-16
"Ys1...121",-0.5,0,0.2,-1.5,-2.99834047313312,-2.25131159414058,0.751253698286029,0.751253698286029,0.375626849143015,0.375626849143015,0
"Ys1...122",-0.5,0,0.2,-1,-3.49796790143659,-2.25131159414058,0.751253698286029,0.751253698286029,0.751253698286029,0.751253698286029,0
"Ys1...123",-0.5,0,0.2,1,-5.49647761465044,-2.25131159414058,0.751253698286029,0.751253698286029,2.25376109485809,2.25376109485809,0
"Ys1...124",-0.5,0,0.2,1.5,-5.9961050429539,-2.25131159414058,0.751253698286029,0.75125369828603,2.6293879440011,2.6293879440011,8.88178419700125e-16
"Ys1...125",-0.5,0,0.75,-1.5,-2.99897368680917,-2.2507707545344,0.750700838647709,0.750700838647709,0.375350419323854,0.375350419323854,0
"Ys1...126",-0.5,0,0.75,-1,-3.49887881475988,-2.2507707545344,0.750700838647709,0.750700838647709,0.750700838647708,0.750700838647709,0
"Ys1...127",-0.5,0,0.75,1,-5.49849932656272,-2.2507707545344,0.750700838647709,0.750700838647709,2.25210251594313,2.25210251594313,-8.88178419700125e-16
"Ys1...128",-0.5,0,0.75,1.5,-5.99840445451342,-2.2507707545344,0.750700838647709,0.750700838647709,2.62745293526698,2.62745293526698,0
"Ys1...129",-0.5,1,-0.75,-1.5,-3.00045434014214,-5.00119781870538,0.375237939666416,1.25030850115122,1.37520755108618,0.500035780320635,-0.0001012092807402
"Ys1...130",-0.5,1,-0.75,-1,-3.50079781939067,-5.00119781870538,-0.500104153984855,1.25003696898476,2.75041510217236,1.00007156064127,-0.000202418561481288
"Ys1...131",-0.5,1,-0.75,1,-5.50217173638478,-5.00119781870539,-4.00147252858994,1.24895084031889,8.25124530651709,3.00021468192381,-0.000607255684444752
"Ys1...132",-0.5,1,-0.75,1.5,-6.00251521563331,-5.00119781870538,-4.87681462224121,1.24867930815242,9.62645285760327,3.50025046224445,-0.000708464965187616
"Ys1...133",-0.5,1,-0.2,-1.5,-3.00092618062881,-5.00149921929256,0.650222076692661,1.25024548246046,1.10011783780613,0.500016310916011,-7.81211223150891e-05
"Ys1...134",-0.5,1,-0.2,-1,-3.501274789865,-5.00149921929256,0.0499713098604566,1.25001812139606,2.20023567561225,1.00003262183202,-0.000156242244630178
"Ys1...135",-0.5,1,-0.2,1,-5.50266922680977,-5.00149921929256,-2.35103175746837,1.24910867713844,6.60070702683677,3.00009786549607,-0.000468726733890534
"Ys1...136",-0.5,1,-0.2,1.5,-6.00301783604596,-5.00149921929256,-2.95128252430058,1.24888131607403,7.70082486464289,3.50011417641208,-0.000546847856204735
"Ys1...137",-0.5,1,0.2,-1.5,-2.99834047313312,-5.00292463010877,0.852542654884521,1.25214590678353,0.900845052450672,0.500708166432056,-0.000533634119609161
"Ys1...138",-0.5,1,0.2,-1,-3.49796790143659,-5.00292463010877,0.452846332104345,1.25205283590236,1.80169010490134,1.00141633286411,-0.00106726823921832
"Ys1...139",-0.5,1,0.2,1,-5.49647761465044,-5.00292463010877,-1.14593895901636,1.25168055237768,5.40507031470403,3.00424899859234,-0.00320180471765319
"Ys1...140",-0.5,1,0.2,1.5,-5.9961050429539,-5.00292463010877,-1.54563528179653,1.25158748149652,6.3059153671547,3.50495716502439,-0.00373543883726413
"Ys1...141",-0.5,1,0.75,-1.5,-2.99897368680917,-5.00227313061757,1.12636091098617,1.25117399742498,0.625555172432789,0.500361716017568,-0.000380369976413775
"Ys1...142",-0.5,1,0.75,-1,-3.49887881475988,-5.00227313061757,1.00148935538155,1.25111552825917,1.25111034486558,1.00072343203513,-0.000760739952829326
"Ys1...143",-0.5,1,0.75,1,-5.49849932656272,-5.00227313061758,0.502003132963068,1.25088165159592,3.75333103459674,3.0021702961054,-0.00228221985848798
"Ys1...144",-0.5,1,0.75,1.5,-5.99840445451342,-5.00227313061758,0.377131577358448,1.25082318243011,4.37888620702953,3.50253201212297,-0.00266258983490353
"Ys1...145",-0.5,1.5,-0.75,-1.5,-3.00045434014214,-6.37648126667757,0.18789186744297,1.50049770967018,1.87532880560094,0.562571149452625,-0.00015181392111252
"Ys1...146",-0.5,1.5,-0.75,-1,-3.50079781939067,-6.37648126667757,-1.12512127303394,1.50009041142048,3.75065761120189,1.12514229890525,-0.000303627842222376
"Ys1...147",-0.5,1.5,-0.75,1,-5.50217173638478,-6.37648126667757,-6.37717383494157,1.49846121842168,11.2519728336057,3.37542689671575,-0.000910883526668016
"Ys1...148",-0.5,1.5,-0.75,1.5,-6.00251521563331,-6.37648126667757,-7.69018697541847,1.49805392017198,13.1273016392066,3.93799804616838,-0.00106269744777698
"Ys1...149",-0.5,1.5,-0.2,-1.5,-3.00092618062881,-6.3766509277231,0.600362062966266,1.50039717161797,1.46269123067283,0.562538940337653,-0.000117181683473078
"Ys1...150",-0.5,1.5,-0.2,-1,-3.501274789865,-6.3766509277231,-0.300014087282044,1.50005613002136,2.92538246134566,1.12507788067531,-0.000234363366946155
"Ys1...151",-0.5,1.5,-0.2,1,-5.50266922680977,-6.3766509277231,-3.90151868827528,1.49869196363493,8.77614738403697,3.37523364202592,-0.000703090100834913
"Ys1...152",-0.5,1.5,-0.2,1.5,-6.00301783604596,-6.3766509277231,-4.80189483852359,1.49835092203832,10.2388386147098,3.93777258236357,-0.000820271784307991
"Ys1...153",-0.5,1.5,0.2,-1.5,-2.99834047313312,-6.37873114809287,0.903187133183767,1.50259201103228,1.1634541541045,0.563248825076577,-0.00080045117941463
"Ys1...154",-0.5,1.5,0.2,-1,-3.49796790143659,-6.37873114809287,0.303642649013504,1.50245240471052,2.326908308209,1.12649765015315,-0.00160090235882659
"Ys1...155",-0.5,1.5,0.2,1,-5.49647761465044,-6.37873114809287,-2.09453528766755,1.50189397942351,6.980724924627,3.37949295045946,-0.00480270707648067
"Ys1...156",-0.5,1.5,0.2,1.5,-5.9961050429539,-6.37873114809287,-2.69407977183781,1.50175437310176,8.1441790787315,3.94274177553604,-0.00560315825589086
"Ys1...157",-0.5,1.5,0.75,-1.5,-2.99897368680917,-6.37802431865916,1.3141909471554,1.50141057681361,0.750657548987258,0.562867364364424,-0.000570554964622438
"Ys1...158",-0.5,1.5,0.75,-1,-3.49887881475988,-6.37802431865916,1.12688361374847,1.50132287306489,1.50131509797452,1.12573472872885,-0.0011411099292431
"Ys1...159",-0.5,1.5,0.75,1,-5.49849932656271,-6.37802431865916,0.377654280120749,1.50097205807002,4.50394529392355,3.37720418618654,-0.0034233297877293
"Ys1...160",-0.5,1.5,0.75,1.5,-5.99840445451342,-6.37802431865916,0.190346946713817,1.5008843543213,5.25460284291081,3.94007155055097,-0.0039938847523544
"Ys1...161",0.5,-1.5,-0.75,-1.5,-6.00062436166641,1.87521942115553,1.68706560237979,0.374223253765409,-1.50024099079738,-0.18787346240924,-0.000474820226244344
"Ys1...162",0.5,-1.5,-0.75,-1,-7.50122475909307,1.87521942115553,3.37530638943364,0.749621692204876,-3.00048198159476,-0.375746924818479,-0.000949640452489575
"Ys1...163",0.5,-1.5,-0.75,1,-13.5036263487997,1.87521942115553,10.128269537649,2.25121544596275,-9.00144594478427,-1.12724077445544,-0.00284892135747022
"Ys1...164",0.5,-1.5,-0.75,1.5,-15.0042267462264,1.87521942115553,11.8165103247029,2.62661388440221,-10.5016869355816,-1.31511423686468,-0.00332374158371496
"Ys1...165",0.5,-1.5,-0.2,-1.5,-6.0012764820218,1.87425932286013,1.27474864680625,0.374341821865831,-1.0874501759195,-0.187829233262124,-0.000785882283043549
"Ys1...166",0.5,-1.5,-0.2,-1,-7.50206228930485,1.87425932286013,2.55048164351698,0.749667993636135,-2.17490035183901,-0.375658466524249,-0.0015717645660871
"Ys1...167",0.5,-1.5,-0.2,1,-13.505205518437,1.87425932286013,7.65341363035989,2.25097268071735,-6.52470105551702,-1.12697539957275,-0.00471529369826168
"Ys1...168",0.5,-1.5,-0.2,1.5,-15.0059913257201,1.87425932286013,8.92914662707062,2.62629885248765,-7.61215123143653,-1.31480463283487,-0.00550117598130528
"Ys1...169",0.5,-1.5,0.2,-1.5,-5.99785497566876,1.87610795981172,0.973264118656603,0.374114373662387,-0.786872557283327,-0.187227523860472,0.000495288428638663
"Ys1...170",0.5,-1.5,0.2,-1,-7.49708380316173,1.87610795981172,1.94688280307598,0.748583313087548,-1.57374511456665,-0.374455047720945,0.000990576857277103
"Ys1...171",0.5,-1.5,0.2,1,-13.4939991131336,1.87610795981172,5.84135754075349,2.24645907078819,-4.72123534369996,-1.12336514316284,0.00297173057182992
"Ys1...172",0.5,-1.5,0.2,1.5,-14.9932279406266,1.87610795981172,6.81497622517287,2.62092801021335,-5.50810790098329,-1.31059266702331,0.00346701900046931
"Ys1...173",0.5,-1.5,0.75,-1.5,-5.99867648256829,1.87648280959037,0.561572235145105,0.374466518423571,-0.374764021705949,-0.187398922786639,0.000259382197775437
"Ys1...174",0.5,-1.5,0.75,-1,-7.498371302932,1.87648280959037,1.12337141853793,0.749159985094857,-0.749528043411898,-0.374797845573279,0.000518764395550653
"Ys1...175",0.5,-1.5,0.75,1,-13.4971505843868,1.87648280959037,3.37056815210921,2.24793385178,-2.2485841302357,-1.12439353671984,0.00155629318665157
"Ys1...176",0.5,-1.5,0.75,1.5,-14.9968454047505,1.87648280959037,3.93236733550203,2.62262731845129,-2.62334815194165,-1.31179245950648,0.00181567538442595
"Ys1...177",0.5,-1,-0.75,-1.5,-6.00062436166641,0.499935973183345,0.874687096290964,-0.000541136118624053,-1.12517231317937,-0.250260627587275,-0.000316546817496821
"Ys1...178",0.5,-1,-0.75,-1,-7.50122475909307,0.499935973183345,2.00018095432687,0.249724489507688,-2.25034462635873,-0.500521255174549,-0.000633093634993642
"Ys1...179",0.5,-1,-0.75,1,-13.5036263487997,0.499935973183346,6.50215638647047,1.25078699201293,-6.75103387907621,-1.50156376552365,-0.00189928090497959
"Ys1...180",0.5,-1,-0.75,1.5,-15.0042267462264,0.499935973183345,7.62765024450637,1.50105261763925,-7.87620619225557,-1.75182439311092,-0.00221582772247575
"Ys1...181",0.5,-1,-0.2,-1.5,-6.0012764820218,0.499107614429593,0.599813132585988,-0.000458084040961371,-0.849976433255427,-0.250229138150507,-0.00052392152202918
"Ys1...182",0.5,-1,-0.2,-1,-7.50206228930485,0.499107614429593,1.45030179705981,0.249759363805908,-1.69995286651085,-0.500458276301015,-0.00104784304405792
"Ys1...183",0.5,-1,-0.2,1,-13.505205518437,0.499107614429593,4.85225645495508,1.25062915519338,-5.09985859953256,-1.50137482890304,-0.00314352913217375
"Ys1...184",0.5,-1,-0.2,1.5,-15.0059913257201,0.499107614429593,5.7027451194289,1.50084660304025,-5.94983503278799,-1.75160396705355,-0.00366745065420337
"Ys1...185",0.5,-1,0.2,-1.5,-5.99785497566876,0.500301441827621,0.399260645199745,-0.000172518129732957,-0.649372755141213,-0.249609399525977,0.000330192285757924
"Ys1...186",0.5,-1,0.2,-1,-7.49708380316173,0.500301441827622,1.048339768146,0.249473441487042,-1.29874551028243,-0.499218799051954,0.000660384571517625
"Ys1...187",0.5,-1,0.2,1,-13.4939991131336,0.500301441827622,3.644656259931,1.24805727995414,-3.89623653084728,-1.49765639715586,0.00198115371455221
"Ys1...188",0.5,-1,0.2,1.5,-14.9932279406266,0.500301441827622,4.29373538287725,1.49770323957091,-4.54560928598849,-1.74726579668184,0.00231134600031258
"Ys1...189",0.5,-1,0.75,-1.5,-5.99867648256829,0.500731621548778,0.124615102979306,-0.000122041501716463,-0.374725874696015,-0.249815808749808,0.000172921465183773
"Ys1...190",0.5,-1,0.75,-1,-7.498371302932,0.500731621548778,0.499147891907854,0.249673602945808,-0.749451749392029,-0.499631617499616,0.000345842930367546
"Ys1...191",0.5,-1,0.75,1,-13.4971505843868,0.500731621548778,1.99727904762204,1.24885618073591,-2.24835524817609,-1.49889485249885,0.00103752879110153
"Ys1...192",0.5,-1,0.75,1.5,-14.9968454047505,0.500731621548778,2.37181183655059,1.49865182518343,-2.6230811228721,-1.74871066124866,0.00121045025628574
"Ys1...193",0.5,0,-0.75,-1.5,-6.00062436166641,-2.25063092276102,-0.750069915886689,-0.75006991588669,-0.375034957943345,-0.375034957943345,-8.88178419700125e-16
"Ys1...194",0.5,0,-0.75,-1,-7.50122475909307,-2.25063092276102,-0.750069915886689,-0.750069915886689,-0.75006991588669,-0.75006991588669,0
