"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"38",-1.5,1,-0.2,-0.5,-1,-0.00910809999999995,0.0164388,8.69999999997262e-06,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"39",-1.5,1,-0.2,0,-1,-0.0108444,-0.000106900000000021,0.000288599999999972,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"40",-1.5,1,-0.2,0.5,-1,-0.0127147,-0.0165874,0.000172599999999967,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"41",-1.5,1,-0.2,1,-1,-0.0142796000000001,-0.0279853,0.000161100000000025,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"42",-1.5,1,-0.2,1.5,-1,-0.0158999999999999,-0.0352314999999999,5.8400000000014e-05,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"43",-1.5,1,0.2,-1.5,-1,-0.00560110000000003,0.0138199,0.000237400000000054,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"44",-1.5,1,0.2,-1,-1,-0.00764680000000006,0.0233506,0.00033979999999989,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"45",-1.5,1,0.2,-0.5,-1,-0.00919329999999996,0.0166219999999999,0.000381299999999918,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3
"46",-1.5,1,0.2,0,-1,-0.0108947,-0.000172999999999979,0.000243699999999958,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"47",-1.5,1,0.2,0.5,-1,-0.0126898,-0.0166681000000001,0.000164700000000018,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"48",-1.5,1,0.2,1,-1,-0.0142466999999999,-0.0279634,0.000172800000000084,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"49",-1.5,1,0.2,1.5,-1,-0.0156137999999999,-0.0352276,0.000136899999999995,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"50",-1.5,1,0.75,-1.5,-1,-0.00550560000000011,0.0137358,0.000242100000000023,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4
"51",-1.5,1,0.75,-1,-1,-0.00759259999999995,0.0232408000000001,0.00031150000000002,2,3,1,4,2,3,1,4,2,4,1,3,2,3,1,4
"52",-1.5,1,0.75,-0.5,-1,-0.00922299999999998,0.0166611,0.000282400000000016,2,3,1,4,2,4,1,3,2,4,1,3,2,4,1,3
"53",-1.5,1,0.75,0,-1,-0.0107282,-0.000170899999999974,0.000254399999999988,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"54",-1.5,1,0.75,0.5,-1,-0.0124216,-0.0166592,0.00018740000000006,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"55",-1.5,1,0.75,1,-1,-0.0140890999999999,-0.0279975000000001,0.000148099999999984,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"56",-1.5,1,0.75,1.5,-1,-0.0155236,-0.0352385000000001,6.38999999998946e-05,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"57",-1.5,1,-0.75,-1.5,-0.5,0.00109429999999999,-0.0268031000000001,0.000362899999999944,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"58",-1.5,1,-0.75,-1,-0.5,0.00351500000000016,-0.00454769999999993,0.000243900000000075,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"59",-1.5,1,-0.75,-0.5,-0.5,0.00389779999999995,0.000977799999999918,0.000297099999999939,2,4,1,3,2,3,1,4,3,4,1,2,2,3,1,4
"60",-1.5,1,-0.75,0,-0.5,0.0029745000000001,-0.00493529999999998,0.000346599999999864,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"61",-1.5,1,-0.75,0.5,-0.5,0.00165730000000008,-0.0131167,0.000269400000000086,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"62",-1.5,1,-0.75,1,-0.5,0.000212199999999996,-0.0194726000000001,0.000150099999999931,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"63",-1.5,1,-0.75,1.5,-0.5,-0.00111150000000004,-0.0236862,6.58000000000047e-05,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"64",-1.5,1,-0.2,-1.5,-0.5,0.00113920000000001,-0.0267291000000001,0.000485899999999928,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"65",-1.5,1,-0.2,-1,-0.5,0.00349469999999985,-0.0043816000000001,0.000377999999999989,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"66",-1.5,1,-0.2,-0.5,-0.5,0.00377799999999995,0.000950200000000012,0.000294800000000039,2,3,1,4,2,3,1,4,3,4,1,2,2,3,1,4
"67",-1.5,1,-0.2,0,-0.5,0.00284420000000007,-0.00491969999999986,0.000361100000000003,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"68",-1.5,1,-0.2,0.5,-0.5,0.0014132,-0.0131292,0.000279800000000052,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"69",-1.5,1,-0.2,1,-0.5,4.42999999998861e-05,-0.0194283000000001,0.000215199999999971,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"70",-1.5,1,-0.2,1.5,-0.5,-0.00130810000000003,-0.0236651,0.000125600000000059,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"71",-1.5,1,0.2,-1.5,-0.5,0.00135359999999995,-0.0269787,0.000303999999999971,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"72",-1.5,1,0.2,-1,-0.5,0.00356569999999978,-0.00458629999999993,0.000264000000000042,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"73",-1.5,1,0.2,-0.5,-0.5,0.0038895000000001,0.000705100000000125,0.000347000000000097,2,3,1,4,2,3,1,4,3,4,1,2,2,3,1,4
"74",-1.5,1,0.2,0,-0.5,0.00281450000000005,-0.00507279999999988,0.0002664,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"75",-1.5,1,0.2,0.5,-0.5,0.00133210000000006,-0.0131326,0.000273300000000032,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"76",-1.5,1,0.2,1,-0.5,-3.75000000000236e-05,-0.0194654,0.000201600000000024,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"77",-1.5,1,0.2,1.5,-0.5,-0.0012705999999999,-0.0237784000000001,0.000133199999999944,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"78",-1.5,1,0.75,-1.5,-0.5,0.00132389999999993,-0.0269345,0.000373500000000027,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"79",-1.5,1,0.75,-1,-0.5,0.00359179999999992,-0.00452839999999999,0.000327599999999983,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4
"80",-1.5,1,0.75,-0.5,-0.5,0.00384669999999998,0.00092749999999997,0.000383299999999975,2,3,1,4,2,3,1,4,3,4,1,2,2,3,1,4
"81",-1.5,1,0.75,0,-0.5,0.00286280000000017,-0.00498089999999995,0.000296499999999922,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"82",-1.5,1,0.75,0.5,-0.5,0.00152609999999997,-0.0131014,0.000288700000000031,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"83",-1.5,1,0.75,1,-0.5,6.75999999999455e-05,-0.0194162999999999,0.000185500000000061,2,4,1,3,2,4,1,3,3,4,1,2,2,4,1,3
"84",-1.5,1,0.75,1.5,-0.5,-0.00119550000000002,-0.0237011,9.71000000000721e-05,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"85",-1.5,1,-0.75,-1.5,0,0.00917539999999983,-0.0591092,0.000334500000000015,2,1,3,4,2,1,3,4,4,1,2,3,2,1,3,4
"86",-1.5,1,-0.75,-1,0,0.0164398000000001,-0.0305966,0.000460999999999934,3,2,1,4,3,1,2,4,4,1,2,3,3,2,1,4
"87",-1.5,1,-0.75,-0.5,0,0.0185269000000001,-0.0164876,0.000318399999999941,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"88",-1.5,1,-0.75,0,0,0.0179359,-0.0125034000000001,0.00037609999999999,2,3,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"89",-1.5,1,-0.75,0.5,0,0.0166582999999999,-0.0131731999999999,0.00022410000000006,2,3,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"90",-1.5,1,-0.75,1,0,0.0151469000000001,-0.014836,0.000192700000000157,2,3,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"91",-1.5,1,-0.75,1.5,0,0.0138048999999998,-0.0163592000000001,6.97999999998977e-05,2,3,1,4,3,2,1,4,4,2,1,3,3,2,1,4
