"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...154",-0.5,1.5,0.2,-1,-0.0563952,-0.0154369,0.0873615999999999,0.0947095999999999,0.00615840000000001,0.0052059000000001,0.00639550000000011
"Ys1...155",-0.5,1.5,0.2,1,-0.0573952,-0.00667010000000001,0.0813343,0.0943451000000001,0.0121563,0.00964850000000006,0.0105030000000002
"Ys1...156",-0.5,1.5,0.2,1.5,-0.0576238,-0.00514890000000001,0.0814686999999999,0.0942917999999999,0.0124591000000001,0.0101074,0.0104713999999999
"Ys1...157",-0.5,1.5,0.75,-1.5,-0.0564098,-0.0156855,0.0911567999999999,0.0946215,0.00306440000000008,0.00288929999999998,0.0032896
"Ys1...158",-0.5,1.5,0.75,-1,-0.056321,-0.0154096,0.0869888,0.0945322,0.00630410000000003,0.00522129999999998,0.00646059999999993
"Ys1...159",-0.5,1.5,0.75,1,-0.0573145,-0.006606,0.0794392,0.094248,0.0138018999999999,0.00964200000000004,0.0106489000000001
"Ys1...160",-0.5,1.5,0.75,1.5,-0.0575540999999999,-0.00500900000000004,0.0792733,0.0942069,0.0143966,0.01014,0.010677
"Ys1...161",0.5,-1.5,-0.75,-1.5,-0.0505786,0.0212272999999999,0.00450170000000005,-0.0129307,-0.027274,-0.00466919999999993,0.00517240000000008
"Ys1...162",0.5,-1.5,-0.75,-1,-0.0522538,0.0271154,0.0169839000000001,-0.0103724000000001,-0.0459498,-0.00762599999999991,0.0109675
"Ys1...163",0.5,-1.5,-0.75,1,-0.0557646000000001,0.0130576,0.0352592,-0.0084282,-0.0797847,-0.0128184,0.0232789
"Ys1...164",0.5,-1.5,-0.75,1.5,-0.0563239,0.00830370000000002,0.0371666,-0.00844309999999993,-0.0834631,-0.0133705,0.0244829000000001
"Ys1...165",0.5,-1.5,-0.2,-1.5,-0.0505304999999999,0.0212848999999999,-0.0014358000000001,-0.0129093,-0.0214032999999999,-0.00461869999999998,0.00531110000000001
"Ys1...166",0.5,-1.5,-0.2,-1,-0.0522288,0.0271368,0.00870230000000005,-0.0103548999999999,-0.0377357,-0.00763330000000007,0.0110452
"Ys1...167",0.5,-1.5,-0.2,1,-0.0557033,0.0130646,0.0250079000000001,-0.00839120000000004,-0.0696464,-0.0127324000000001,0.0235148999999998
"Ys1...168",0.5,-1.5,-0.2,1.5,-0.0562489,0.0081865000000001,0.0266891,-0.00839690000000004,-0.0730273,-0.0133212,0.0246200999999999
