"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...11",-1.5,-1.5,0.2,1,0.3271237,0.2895999,0.5993362,0.6319009,0.7586462,0.324013,0.3231407,0.6304408,0.6304898,0.8218491,0.8737907,0.3272738,0.2898762,0.6306145,0.6322149,0.7586578,0.0375238,-0.3097363,-0.0325647,-0.1267453,0.0375238,-0.3073001,-0.1913593,-0.1267453,0.1563584,-0.00243619999999989,0.1564074,0.9649991,0.5969,1.5663221,1.2254812,0.8490583,0.5594584,1.0939111,1.0925,0.000872299999999993,-0.3073001,-0.1913593,-0.0519416,0.1182552,-0.00243619999999989,0.0373976,-0.3407383,-0.00160040000000006,-0.1264429,-0.000138500000000041,0.0310020000000001
"Ys0...12",-1.5,-1.5,0.2,1.5,0.3052907,0.2701577,0.5757992,0.6099505,0.7070765,0.2999882,0.3021601,0.6072393,0.6071044,0.8070543,0.8596563,0.3055768,0.2702609,0.6072503,0.6103685,0.7071937,0.035133,-0.3056415,-0.0341513,-0.097126,0.035133,-0.3050792,-0.1999499,-0.097126,0.1652363,-0.000562299999999905,0.1651014,0.9652864,0.5752369,1.4817172,1.1446356,0.8601571,0.5899994,1.1688365,1.1659904,-0.0021719,-0.3050792,-0.1999499,-0.052602,0.1578823,-0.000562299999999905,0.0353159,-0.3369894,-0.00311819999999996,-0.0968252000000001,-0.000168899999999916,0.0313479000000001
"Ys0...13",-1.5,-1.5,0.75,-1.5,0.6550116,0.64031,0.8121802,0.8496723,0.9193527,0.7129244,0.6797575,0.8590364,0.859074,0.9065163,0.76276,0.6550197,0.6402223,0.859257,0.8499167,0.9194019,0.0147016,-0.1718702,-0.0374921,-0.0696804,0.0147016,-0.1792789,-0.0474423,-0.0696804,0.0173589000000001,0.00740870000000005,0.0173965,0.9699166,0.8195889,0.9224122,0.9224122,0.9525577,0.80223,0.4688194,0.4688194,0.0331669,-0.1792789,-0.0474423,0.1437563,-0.2145055,0.00740870000000005,0.0147974,-0.2190347,0.00934030000000008,-0.0694852,4.11000000000161e-05,0.0471645000000001
"Ys0...14",-1.5,-1.5,0.75,-1,0.5333585,0.4982674,0.714697,0.7882363,0.9125554,0.5749032,0.5476752,0.7980238,0.7981794,0.8942691,0.7980785,0.5333603,0.4982925,0.7982684,0.788423,0.9125917,0.0350910999999999,-0.2164296,-0.0735393,-0.1243191,0.0350910999999999,-0.2503486,-0.0960897000000001,-0.1243191,0.0564694,0.0339189999999999,0.056625,0.9603797,0.748616,1.308602,1.308602,0.9039103,0.6921466,0.615103,0.615103,0.0272279999999999,-0.2503486,-0.0960897000000001,0.0961906,-0.1560216,0.0339189999999999,0.0350678,-0.2999759,0.0098454,-0.1241687,3.44999999999374e-05,0.0835463
"Ys0...15",-1.5,-1.5,0.75,1,0.327122,0.2896139,0.5099162,0.6320485,0.7585296,0.324129,0.3232254,0.6304237,0.6306976,0.8218938,0.8736421,0.3273079,0.2898314,0.6307054,0.6323666,0.7586892,0.0375081,-0.2203023,-0.1221323,-0.1264811,0.0375081,-0.3071983,-0.1911962,-0.1264811,0.1559599,0.086896,0.1562338,0.9647637,0.5968122,1.5664884,1.2256786,0.8487616,0.5591477,1.0934663,1.0921154,0.000903600000000004,-0.3071983,-0.1911962,-0.0517483,0.1181055,0.086896,0.0374765,-0.340874,-0.00166120000000003,-0.1263226,-2.63000000000346e-05,0.1205717
"Ys0...16",-1.5,-1.5,0.75,1.5,0.3054096,0.2700992,0.4842444,0.610014,0.7070751,0.3001245,0.3022267,0.6071316,0.6069937,0.8070279,0.8596846,0.3055439,0.2702899,0.6073331,0.6103278,0.7071736,0.0353104,-0.2141452,-0.1257696,-0.0970611,0.0353104,-0.3049049,-0.2000342,-0.0970611,0.1650243,0.0907597,0.1648864,0.9649901,0.5750041,1.4816842,1.1446518,0.8601194,0.5900202,1.1689365,1.1659162,-0.0021022,-0.3049049,-0.2000342,-0.0526567,0.1578946,0.0907597,0.035254,-0.3370432,-0.00299470000000002,-0.0968458,-3.58000000000303e-05,0.122898
"Ys0...17",-1.5,-1,-0.75,-1.5,0.6411037,0.6311818,0.9033391,0.893025,0.9053573,0.7033335,0.666416,0.8664792,0.8665783,0.9295766,0.759718,0.640746,0.6311579,0.8665521,0.8930283,0.9054124,0.00992190000000004,-0.2721573,0.0103141,-0.0123323000000001,0.00992190000000004,-0.2000632,-0.0629983,-0.0123323000000001,0.00121830000000001,-0.0720940999999999,0.00131740000000002,0.93822,0.831245,0.9342096,0.9342096,0.9370017,0.8300267,0.3812435,0.3547968,0.0369174999999999,-0.2000632,-0.0629983,0.1698586,-0.2078691,-0.0720940999999999,0.00958809999999999,-0.2353942,-0.0264761999999999,-0.0123841,0.000412799999999991,-0.0367630999999999
"Ys0...18",-1.5,-1,-0.75,-1,0.5338592,0.5004474,0.8742699,0.8609003,0.9034373,0.5683366,0.5391941,0.7985912,0.7986025,0.927164,0.7986121,0.533815,0.5003211,0.7987134,0.8610151,0.9035145,0.0334118,-0.3738225,0.0133696000000001,-0.042537,0.0334118,-0.2593971,-0.1285615,-0.042537,0.0275057,-0.1144254,0.027517,0.8989442,0.7598445,1.3244294,1.3244294,0.8714385,0.7323388,0.4861692,0.4238714,0.0291425,-0.2593971,-0.1285615,0.1285519,-0.1393026,-0.1144254,0.0334939000000001,-0.2983923,-0.0623017,-0.0424994,0.000121399999999938,-0.0754302
"Ys0...19",-1.5,-1,-0.75,1,0.3337573,0.3020533,0.7071941,0.7554942,0.8177532,0.3160994,0.3131061,0.5982189,0.598167,0.8826791,0.894153,0.3335498,0.3019805,0.598034,0.7556081,0.8176835,0.031704,-0.4051408,-0.0483001,-0.062259,0.031704,-0.2851128,-0.2845121,-0.062259,0.116184,-0.120028,0.1161321,0.8316719,0.5871661,1.5264844,1.2303188,0.8310712,0.5290179,0.8809806,0.7236534,0.00299329999999998,-0.2851128,-0.2845121,-0.0114738999999999,0.0940577,-0.120028,0.0315693,-0.2960535,-0.1575741,-0.0620754,0.000137799999999966,-0.1090873
"Ys0...20",-1.5,-1,-0.75,1.5,0.3112376,0.283115,0.6702281,0.737896,0.7900681,0.2916958,0.2911421,0.5686045,0.5685762,0.8712659,0.8893931,0.3109984,0.2828731,0.5685119,0.7380807,0.790058,0.0281226,-0.3871131,-0.0676679,-0.0521721000000001,0.0281226,-0.2774624,-0.3026897,-0.0521721000000001,0.1253711,-0.1096507,0.1253428,0.8226814,0.5605774,1.4340037,1.1485142,0.8479087,0.5647937,0.950996,0.7816762,0.00055369999999999,-0.2774624,-0.3026897,-0.0181272,0.1188668,-0.1096507,0.0281253,-0.2856388,-0.1695688,-0.0519773,0.000229099999999982,-0.1014743
