"","a1","g6","rho","beta2","Ys0","Ys1","Ys2","Ys3","Ys4","Ys0.prime","Ys1.prime","Ys2.prime","Ys2.dprime","Ys3.dprime","Ys4.dprime","Ys0.star","Ys1.star","Ys2.star","Ys3.star","Ys4.star","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","diff_PZ_1.0","uppb_P2_z_1.0","uppb_P2_1_1.0","uppb_P2_bo_1.0","uppb_P2_bn_1.0","uppb_P3_z_1.0","uppb_P3_1_1.0","uppb_P3_bo_1.0","uppb_P3_bn_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...11",-1.5,-1.5,0.2,1,0.5910291,0.5472171,0.8612278,0.873418,0.886793,0.6830728,0.6277462,0.8701769,0.8701899,0.9254851,0.9176745,0.5909635,0.5474145,0.8700967,0.8733598,0.8868651,0.043812,-0.3140107,-0.0121902,-0.013375,0.043812,-0.2424307,-0.0552952,-0.013375,-0.028475,-0.07158,0.0284620000000001,0.9162298,0.7896478,1.0041538,1.0041538,0.9447048,0.8181228,0.4054219,0.4021938,0.0553266,-0.2424307,-0.0552952,0.0078106,-0.0611622000000002,-0.07158,0.0435489999999999,-0.3226822,-0.00326310000000007,-0.0135052999999999,0.000137699999999907,0.00867149999999994
"Ys0...12",-1.5,-1.5,0.2,1.5,0.584648,0.538417,0.8589345,0.8701144,0.8786964,0.6744814,0.618454,0.8678214,0.8677974,0.9248715,0.9190796,0.5846102,0.5386481,0.8677091,0.8700578,0.8787304,0.0462309999999999,-0.3205175,-0.0111798999999999,-0.00858200000000009,0.0462309999999999,-0.2493674,-0.0570740999999999,-0.00858200000000009,-0.0252559,-0.0711501,0.0252798999999999,0.91767,0.7877844,1.0274492,1.0274492,0.9429259,0.8130403,0.4123452,0.4100282,0.0560274000000001,-0.2493674,-0.0570740999999999,0.00579189999999996,-0.0494502000000001,-0.0711501,0.0459621,-0.329061,-0.00234869999999998,-0.00867260000000003,7.17999999999552e-05,0.00854350000000004
"Ys0...13",-1.5,-1.5,0.75,-1.5,0.7521389,0.74879,0.8947082,0.911216,0.9324207,0.8223814,0.7789574,0.9085692,0.9083589,0.9257202,0.890008,0.752222,0.7488747,0.9083642,0.9109607,0.932462,0.0033489000000001,-0.1459182,-0.0165078000000001,-0.0212047,0.0033489000000001,-0.1296118,-0.0173613,-0.0212047,-0.0154529000000001,-0.0163064000000001,0.0156632000000001,0.9671858,0.8784018,0.6249468,0.6249468,0.9826387,0.8938547,0.3289847,0.3261276,0.043424,-0.1296118,-0.0173613,0.0357122,-0.1126552,-0.0163064000000001,0.00334729999999994,-0.1594895,-0.0025965,-0.0215013000000001,-4.17999999998697e-05,0.0135713
"Ys0...14",-1.5,-1.5,0.75,-1,0.6904764,0.6699595,0.8706271,0.9003048,0.9275186,0.7737886,0.7263332,0.8951581,0.8951718,0.9270875,0.8950153,0.6907447,0.6701744,0.8951525,0.9000292,0.9275389,0.0205168999999999,-0.2006676,-0.0296777,-0.0272138,0.0205168999999999,-0.1688249,-0.0319157,-0.0272138,-0.0296047,-0.0318427,0.029591,0.9384796,0.8387844,0.7570174,0.7570174,0.9680843,0.8683891,0.3503484,0.3452154,0.0474554,-0.1688249,-0.0319157,0.0320722,-0.1158155,-0.0318427,0.0205703,-0.2249781,-0.00487669999999996,-0.0275097000000001,-0.000247999999999915,0.0243105000000001
"Ys0...15",-1.5,-1.5,0.75,1,0.5910399,0.5474436,0.8405757,0.873556,0.8868659,0.6830485,0.6278212,0.8703256,0.8702222,0.9253962,0.9176891,0.5909635,0.5474145,0.8700967,0.8733598,0.8868651,0.0435962999999999,-0.2931321,-0.0329803,-0.0133099,0.0435962999999999,-0.2425044,-0.0551740000000001,-0.0133099,-0.0284339999999998,-0.0506276999999999,0.0285373999999999,0.916392,0.789948,1.0037064,1.0037064,0.944826,0.818382,0.4054294,0.4020956,0.0552273,-0.2425044,-0.0551740000000001,0.00770709999999997,-0.0611853999999999,-0.0506276999999999,0.0435489999999999,-0.3226822,-0.00326310000000007,-0.0135052999999999,7.55999999999535e-05,0.0295500999999999
"Ys0...16",-1.5,-1.5,0.75,1.5,0.5846345,0.5387557,0.8389881,0.8702819,0.878738,0.6744528,0.6185326,0.8679694,0.8678157,0.9247926,0.9190991,0.5846102,0.5386481,0.8677091,0.8700578,0.8787304,0.0458788,-0.3002324,-0.0312938,-0.00845609999999997,0.0458788,-0.2494368,-0.0569769,-0.00845609999999997,-0.0251125000000001,-0.0507956000000001,0.0252662000000001,0.9179106,0.7881925,1.026996,1.026996,0.9430231,0.813305,0.4123172,0.409851,0.0559202,-0.2494368,-0.0569769,0.00569350000000002,-0.0494572000000001,-0.0507956000000001,0.0459621,-0.329061,-0.00234869999999998,-0.00867260000000003,1.66999999999806e-05,0.0288286
"Ys0...17",-1.5,-1,-0.75,-1.5,0.7191302,0.7310405,0.9231763,0.9172212,0.9298942,0.8061537,0.7567309,0.9120237,0.9120184,0.9301467,0.8926244,0.7188502,0.7309757,0.9119448,0.917212,0.9299239,-0.0119102999999999,-0.1921358,0.00595509999999999,-0.012673,-0.0119102999999999,-0.1552928,-0.0181283,-0.012673,-0.0127596,-0.036843,0.0127649,0.9691121,0.8863333,0.6624908,0.6624908,0.9818717,0.8990929,0.310467,0.3052642,0.0494228,-0.1552928,-0.0181283,0.0375223,-0.1242933,-0.036843,-0.0121255,-0.1809691,-0.00526720000000003,-0.0127119,0.000309700000000079,-0.0111667
"Ys0...18",-1.5,-1,-0.75,-1,0.6727276,0.6598527,0.9193163,0.9080034,0.9264033,0.7606587,0.708324,0.8979349,0.8980737,0.9315738,0.8979654,0.6729182,0.6598991,0.8980639,0.9077479,0.9264285,0.0128749,-0.2594636,0.0113129,-0.0183999,0.0128749,-0.1896109,-0.0335001,-0.0183999,-0.0250397,-0.0698527,0.0249009,0.9414602,0.8494636,0.7874822,0.7874822,0.9664999,0.8745033,0.3307753,0.3208456,0.0523347000000001,-0.1896109,-0.0335001,0.0336084,-0.116369,-0.0698527,0.0130191000000001,-0.2381648,-0.00968400000000003,-0.0186805999999999,-0.000165400000000093,-0.0212988
"Ys0...19",-1.5,-1,-0.75,1,0.589898,0.5471692,0.9062322,0.8838975,0.8944977,0.6758735,0.6179003,0.8717294,0.8718735,0.9298019,0.9216922,0.5897733,0.5469829,0.8717455,0.883695,0.8946056,0.0427288,-0.359063,0.0223347,-0.0106001999999999,0.0427288,-0.2538291,-0.0579284,-0.0106001999999999,-0.0249708,-0.1052339,0.0248267,0.9171008,0.8009983,1.0207406,1.0207406,0.9420716,0.8259691,0.3846252,0.3726012,0.0579732000000001,-0.2538291,-0.0579284,0.0081097,-0.058781,-0.1052339,0.0427903999999999,-0.3247626,-0.0119495000000001,-0.0109106,0.000232600000000138,-0.0343004000000001
"Ys0...20",-1.5,-1,-0.75,1.5,0.5839954,0.5389361,0.9042571,0.8808178,0.8875838,0.6678212,0.6093014,0.8692726,0.8693561,0.9291722,0.9232591,0.5839397,0.5387653,0.8692371,0.880639,0.8876152,0.0450593,-0.365321,0.0234393000000001,-0.00676600000000005,0.0450593,-0.2599712,-0.0598161,-0.00676600000000005,-0.0220944,-0.1053498,0.0220108999999999,0.9180895,0.7989073,1.042852,1.042852,0.9401839,0.8210017,0.3914817,0.38002,0.0585198,-0.2599712,-0.0598161,0.0059131,-0.0481505,-0.1053498,0.0451743999999999,-0.3304718,-0.0114019,-0.0069762000000001,8.71000000001176e-05,-0.0348492
