"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"38",38,-1.5,-0.25,-0.2,-1,0.000598900000000069,-0.00683369999999994,6.90000000003188e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"39",39,-1.5,-0.25,-0.2,1,0.00100500000000003,0.00287999999999999,1.61999999999107e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"40",40,-1.5,-0.25,-0.2,1.5,0.00103410000000015,0.00432549999999998,1.69000000000974e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"41",41,-1.5,-0.25,0.2,-1.5,0.000346299999999911,-0.00891970000000009,2.67999999998825e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"42",42,-1.5,-0.25,0.2,-1,0.000606900000000077,-0.00679580000000002,4.51000000000201e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",43,-1.5,-0.25,0.2,1,0.00102060000000004,0.00292160000000008,5.10999999999706e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"44",44,-1.5,-0.25,0.2,1.5,0.00105420000000001,0.00436760000000003,5.2000000000052e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"45",45,-1.5,-0.25,0.75,-1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"46",46,-1.5,-0.25,0.75,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"47",47,-1.5,-0.25,0.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
"48",48,-1.5,-0.25,0.75,1.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,1,2,3
