"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...169",0.5,-1.5,0.2,-1.5,0.0495390999999999,-0.0046119,0.0100015,0.0247796,0.0495390999999999,0.00209169999999992,0.0016216,0.0247796,0.00167630000000007,-0.00670359999999992,0.0452393000000001,0.00209169999999992,0.0016216,0.1141202,-0.0833593000000001,-0.00670359999999992,0.0496795999999999,-0.00653899999999996,0.0117975,0.0248391,-6.89000000000384e-05,0.00192709999999996
"Ys0...170",0.5,-1.5,0.2,-1,0.0501927999999999,-0.0105236,0.0159132,0.0247796,0.0501927999999999,4.44000000000555e-05,0.00269010000000003,0.0247796,0.00265509999999991,-0.010568,0.042462,4.44000000000555e-05,0.00269010000000003,0.0895944,-0.0544589000000001,-0.010568,0.0503348,-0.0135297999999999,0.0187883,0.0248391,-7.0400000000137e-05,0.00300619999999996
"Ys0...171",0.5,-1.5,0.2,1,0.0505817,-0.016836,0.0222256,0.0247796,0.0505817,-0.00211439999999996,0.00378339999999999,0.0247796,0.00372059999999996,-0.0147216,0.0386837,-0.00211439999999996,0.00378339999999999,0.0215477000000001,0.0187932999999999,-0.0147216,0.0507185999999999,-0.0209532,0.0262117000000001,0.0248391,-6.53000000000459e-05,0.00411720000000004
"Ys0...172",0.5,-1.5,0.2,1.5,0.0505876,-0.0170422,0.0224318,0.0247796,0.0505876,-0.00218410000000002,0.00382579999999999,0.0247796,0.00374790000000003,-0.0148581,0.0385435000000001,-0.00218410000000002,0.00382579999999999,0.0157772,0.0247350999999999,-0.0148581,0.0507232,-0.021203,0.0264615,0.0248391,-6.4000000000064e-05,0.00416079999999996
"Ys0...173",0.5,-1.5,0.75,-1.5,0.0495369,0.000436199999999998,0.00497069999999999,0.0247796,0.0495369,0.0020732,0.00160800000000005,0.0247796,0.00172569999999994,-0.001637,0.0452739999999999,0.0020732,0.00160800000000005,0.1141202,-0.0833604,-0.001637,0.0496795999999999,-0.00653899999999996,0.0117975,0.0248391,-5.37999999999927e-05,0.00697519999999996
"Ys0...174",0.5,-1.5,0.75,-1,0.0501933,-0.0024594,0.00786629999999999,0.0247796,0.0501933,7.61999999999707e-05,0.00268400000000002,0.0247796,0.0026467,-0.00253559999999997,0.0424380000000001,7.61999999999707e-05,0.00268400000000002,0.0895944,-0.0544489,-0.00253559999999997,0.0503348,-0.0135297999999999,0.0187883,0.0248391,-5.26000000000693e-05,0.0110703999999999
"Ys0...175",0.5,-1.5,0.75,1,0.0505741,-0.00554270000000001,0.0109496,0.0247796,0.0505741,-0.00202970000000002,0.00379009999999991,0.0247796,0.00364650000000011,-0.00351299999999999,0.0386256,-0.00202970000000002,0.00379009999999991,0.0215477000000001,0.0187763999999999,-0.00351299999999999,0.0507185999999999,-0.0209532,0.0262117000000001,0.0248391,-5.56000000000445e-05,0.0154105
"Ys0...176",0.5,-1.5,0.75,1.5,0.0505795999999999,-0.00564359999999997,0.0110505,0.0247796,0.0505795999999999,-0.00209110000000001,0.00383289999999992,0.0247796,0.00366510000000009,-0.00355249999999996,0.0384786,-0.00209110000000001,0.00383289999999992,0.0157772,0.0247162999999999,-0.00355249999999996,0.0507232,-0.021203,0.0264615,0.0248391,-5.47000000000741e-05,0.0155594
"Ys0...177",0.5,-1,-0.75,-1.5,NA,NA,NA,0.0605694,NA,NA,NA,0.0605694,NA,NA,NA,NA,NA,0.1384632,NA,NA,0.0333832000000001,-0.00286280000000005,0.0106918,0.0606902,NA,NA
"Ys0...178",0.5,-1,-0.75,-1,NA,NA,NA,0.0534218000000001,NA,NA,NA,0.0534218000000001,NA,NA,NA,NA,NA,0.1095018,NA,NA,0.0302433999999999,-0.00836799999999993,0.0167807,0.0536059,NA,NA
