"","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"40",-1.5,0,-0.2,1.5,0.00283920000000004,-0.0317084000000001,0.000196899999999944,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"41",-1.5,0,0.2,-1.5,0.00210929999999998,-0.1138287,5.63999999999565e-05,3,1,2,4,3,1,2,4,4,1,2,3,3,1,2,4
"42",-1.5,0,0.2,-1,0.00246140000000017,-0.0929385,-1.96999999999559e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"43",-1.5,0,0.2,1,0.00257910000000006,-0.0384164,0.000163499999999983,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"44",-1.5,0,0.2,1.5,0.00325510000000007,-0.031415,9.63999999999965e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"45",-1.5,0,0.75,-1.5,0.00245879999999987,-0.1136001,0.000185099999999938,3,1,2,4,3,1,2,4,4,1,2,3,3,1,2,4
"46",-1.5,0,0.75,-1,0.00251359999999989,-0.0928793000000001,-1.32999999999939e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"47",-1.5,0,0.75,1,0.00261500000000014,-0.0383764,7.53999999999477e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"48",-1.5,0,0.75,1.5,0.00345420000000007,-0.031341,2.65999999999877e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"49",-1.5,1,-0.75,-1.5,0.0096946,-0.0759943000000001,4.01999999999347e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"50",-1.5,1,-0.75,-1,0.0173139999999999,-0.0555847,3.58000000000303e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"51",-1.5,1,-0.75,1,0.0222302,-0.0170952,2.69999999999992e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"52",-1.5,1,-0.75,1.5,0.0217533,-0.0144888999999999,-4.26000000000037e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"53",-1.5,1,-0.2,-1.5,0.00956610000000002,-0.0760832,4.89999999999657e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"54",-1.5,1,-0.2,-1,0.0172616999999999,-0.0555901000000001,0.000131299999999945,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"55",-1.5,1,-0.2,1,0.0223142,-0.0169234999999999,0.000187000000000048,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"56",-1.5,1,-0.2,1.5,0.0217451000000001,-0.0143111,0.000138199999999977,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"57",-1.5,1,0.2,-1.5,0.00934210000000002,-0.0760642000000001,-5.61000000001144e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"58",-1.5,1,0.2,-1,0.0171054999999999,-0.0554633999999999,-1.81999999999682e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"59",-1.5,1,0.2,1,0.0224521999999999,-0.0166432000000001,9.16999999999168e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"60",-1.5,1,0.2,1.5,0.0219428999999999,-0.0140219,4.89999999999657e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"61",-1.5,1,0.75,-1.5,0.0096678,-0.0758938,7.64999999999239e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"62",-1.5,1,0.75,-1,0.0172595,-0.0554784,0.000123600000000001,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"63",-1.5,1,0.75,1,0.0226144,-0.0167634000000001,2.58999999999121e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"64",-1.5,1,0.75,1.5,0.0221445,-0.0141192999999999,1.92999999999444e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"65",-1.5,1.5,-0.75,-1.5,0.00937800000000011,-0.0579204,3.74000000000763e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"66",-1.5,1.5,-0.75,-1,0.0175166999999999,-0.0396143999999999,-5.72999999999269e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"67",-1.5,1.5,-0.75,1,0.0249032,-0.00908039999999999,-3.37999999999727e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"68",-1.5,1.5,-0.75,1.5,0.0243099999999999,-0.00825900000000002,-4.1599999999975e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"69",-1.5,1.5,-0.2,-1.5,0.0091253,-0.0579329,9.33000000000739e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"70",-1.5,1.5,-0.2,-1,0.0173018,-0.0394913,0.000144400000000044,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"71",-1.5,1.5,-0.2,1,0.0248706999999999,-0.00886339999999997,0.000196599999999991,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"72",-1.5,1.5,-0.2,1.5,0.0242142999999999,-0.00804500000000008,0.000226199999999954,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"73",-1.5,1.5,0.2,-1.5,0.00916930000000005,-0.0579889,-0.000220899999999968,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"74",-1.5,1.5,0.2,-1,0.017409,-0.0392165999999999,-2.36999999999599e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"75",-1.5,1.5,0.2,1,0.0249444000000001,-0.00859730000000003,0.000126399999999971,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"76",-1.5,1.5,0.2,1.5,0.0243724,-0.00785849999999999,8.91999999999005e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"77",-1.5,1.5,0.75,-1.5,0.00947750000000014,-0.0578693,-8.37000000000199e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"78",-1.5,1.5,0.75,-1,0.0177304999999999,-0.0393715,2.78000000000223e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"79",-1.5,1.5,0.75,1,0.025232,-0.00877590000000006,7.40000000000185e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"80",-1.5,1.5,0.75,1.5,0.0246211,-0.00795570000000001,7.29999999999897e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"81",-0.5,-1.5,-0.75,-1.5,-0.0064997,-0.0703457,-0.000136599999999931,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"82",-0.5,-1.5,-0.75,-1,-0.0136165,-0.0760128,-5.45999999999047e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"83",-0.5,-1.5,-0.75,1,-0.0245829000000001,-0.0408371000000001,-3.64000000000475e-05,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"84",-0.5,-1.5,-0.75,1.5,-0.0249802,-0.0331966,-0.000120700000000085,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"85",-0.5,-1.5,-0.2,-1.5,-0.00653669999999984,-0.0703168,-9.70999999999611e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"86",-0.5,-1.5,-0.2,-1,-0.0136211000000001,-0.0760277000000001,-6.9600000000003e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"87",-0.5,-1.5,-0.2,1,-0.0245088,-0.040736,5.92999999999844e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"88",-0.5,-1.5,-0.2,1.5,-0.0250095,-0.0331290000000001,-2.48999999999944e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"89",-0.5,-1.5,0.2,-1.5,-0.00650969999999995,-0.0701399,2.40000000006901e-06,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"90",-0.5,-1.5,0.2,-1,-0.0136269999999999,-0.0760579,-8.52999999999549e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"91",-0.5,-1.5,0.2,1,-0.0245196000000001,-0.040872,-8.98000000000287e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"92",-0.5,-1.5,0.2,1.5,-0.0249390000000002,-0.0332165,-0.000152200000000047,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"93",-0.5,-1.5,0.75,-1.5,-0.0065151,-0.0700980999999999,2.06000000000373e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"94",-0.5,-1.5,0.75,-1,-0.0135161,-0.0760632,-9.52999999999093e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"95",-0.5,-1.5,0.75,1,-0.0244244,-0.0409629,-0.00020410000000004,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"96",-0.5,-1.5,0.75,1.5,-0.0248891000000001,-0.0333189,-0.000254700000000052,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"97",-0.5,-1,-0.75,-1.5,-0.00588679999999997,-0.0698134,-7.78999999999641e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"98",-0.5,-1,-0.75,-1,-0.0122582,-0.0736324,-9.03000000000986e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"99",-0.5,-1,-0.75,1,-0.0222242,-0.042015,-2.84000000000395e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"100",-0.5,-1,-0.75,1.5,-0.0225863000000001,-0.0352674000000001,-0.000108300000000061,3,1,4,2,4,1,2,3,4,1,2,3,4,1,3,2
"101",-0.5,-1,-0.2,-1.5,-0.00588350000000015,-0.0697565999999999,-4.17999999999807e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"102",-0.5,-1,-0.2,-1,-0.0122014,-0.0736143,-9.63000000000491e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"103",-0.5,-1,-0.2,1,-0.0220749999999998,-0.041879,5.26999999999056e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"104",-0.5,-1,-0.2,1.5,-0.0225297000000001,-0.0351751,-1.58000000000103e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"105",-0.5,-1,0.2,-1.5,-0.00590360000000001,-0.0696419,5.99999999995049e-06,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"106",-0.5,-1,0.2,-1,-0.0121849999999999,-0.0736319,-6.81000000000154e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
"107",-0.5,-1,0.2,1,-0.0219709,-0.0421260999999999,-9.13000000000164e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"108",-0.5,-1,0.2,1.5,-0.0223678,-0.0353731,-0.000162600000000013,4,1,3,2,4,1,2,3,4,1,2,3,4,1,3,2
"109",-0.5,-1,0.75,-1.5,-0.00593460000000012,-0.0696506,-1.70999999999921e-05,4,1,3,2,4,1,3,2,4,1,2,3,4,1,3,2
