"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"53",-1.5,1,-0.2,-1.5,0.00939279999999987,0.00412844412827997,1,2,4,3,1,2,4,3
"54",-1.5,1,-0.2,-1,0.0170658999999999,0.00762941002361997,1,2,4,3,1,2,4,3
"55",-1.5,1,-0.2,1,0.0221081999999999,0.01299971677536,1,2,4,3,1,2,4,3
"56",-1.5,1,-0.2,1.5,0.0216196,0.0133990394967,1,2,4,3,1,2,4,3
"57",-1.5,1,0.2,-1.5,0.00980709999999996,0.00413442244104,1,2,4,3,1,2,4,3
"58",-1.5,1,0.2,-1,0.0175699,0.00764422945685,1,2,4,3,1,2,4,3
"59",-1.5,1,0.2,1,0.0227200999999999,0.01307799785536,1,2,4,3,1,2,4,3
"60",-1.5,1,0.2,1.5,0.0222294,0.01347334832811,1,2,4,3,1,2,4,3
"61",-1.5,1,0.75,-1.5,0.00964089999999995,0.00413374494648,1,2,4,3,1,2,4,3
"62",-1.5,1,0.75,-1,0.0174728000000001,0.00760487928348,1,2,4,3,1,2,4,3
"63",-1.5,1,0.75,1,0.0227439,0.01305083261392,1,2,4,3,1,2,4,3
"64",-1.5,1,0.75,1.5,0.0222621,0.01345041686376,1,2,4,3,1,2,4,3
"65",-1.5,1.5,-0.75,-1.5,0.00911750000000011,0.00357953005188001,1,2,4,3,1,2,4,3
"66",-1.5,1.5,-0.75,-1,0.017495,0.0065710284948,1,2,4,3,1,2,4,3
"67",-1.5,1.5,-0.75,1,0.0248756999999999,0.01088339245546,1,2,4,3,1,2,4,3
"68",-1.5,1.5,-0.75,1.5,0.0242898999999999,0.01119480342008,1,2,4,3,1,2,4,3
"69",-1.5,1.5,-0.2,-1.5,0.00914439999999983,0.00359905889615999,1,2,4,3,1,2,4,3
"70",-1.5,1.5,-0.2,-1,0.0174780000000001,0.00658553333375001,1,2,4,3,1,2,4,3
"71",-1.5,1.5,-0.2,1,0.0247982,0.01089654577632,1,2,4,3,1,2,4,3
"72",-1.5,1.5,-0.2,1.5,0.0241759,0.01120625457078,1,2,4,3,1,2,4,3
"73",-1.5,1.5,0.2,-1.5,0.0095634,0.00360560594757,1,2,4,3,1,2,4,3
"74",-1.5,1.5,0.2,-1,0.0178549000000002,0.00658968786880002,1,2,4,3,1,2,4,3
"75",-1.5,1.5,0.2,1,0.0253478,0.01094299931712,1,2,4,3,1,2,4,3
"76",-1.5,1.5,0.2,1.5,0.0246710999999999,0.0112403449456,1,2,4,3,1,2,4,3
"77",-1.5,1.5,0.75,-1.5,0.00940979999999991,0.00360806681695998,1,2,4,3,1,2,4,3
"78",-1.5,1.5,0.75,-1,0.0176533,0.00655449467904,1,2,4,3,1,2,4,3
"79",-1.5,1.5,0.75,1,0.0252086,0.01092570354672,1,2,4,3,1,2,4,3
"80",-1.5,1.5,0.75,1.5,0.0246339,0.01123178887168,1,2,4,3,1,2,4,3
"81",-0.5,-1.5,-0.75,-1.5,-0.00692739999999992,0.000133013382480003,1,3,4,2,1,3,4,2
"82",-0.5,-1.5,-0.75,-1,-0.0138452999999999,0.000258932785440001,1,3,4,2,1,3,4,2
"83",-0.5,-1.5,-0.75,1,-0.0246714,0.000613051985999998,2,3,4,1,1,2,4,3
"84",-0.5,-1.5,-0.75,1.5,-0.0250461999999999,0.000663113192480001,2,3,4,1,1,2,4,3
"85",-0.5,-1.5,-0.2,-1.5,-0.00681089999999995,0.000133854452400001,1,3,4,2,1,3,4,2
"86",-0.5,-1.5,-0.2,-1,-0.0138881000000001,0.000258637997549998,1,3,4,2,1,3,4,2
"87",-0.5,-1.5,-0.2,1,-0.0243709,0.000616557824100001,1,3,4,2,1,2,4,3
"88",-0.5,-1.5,-0.2,1.5,-0.0249155,0.000665689493009998,1,3,4,2,1,2,4,3
"89",-0.5,-1.5,0.2,-1.5,-0.00674209999999986,0.000134234931030001,1,3,4,2,1,3,4,2
"90",-0.5,-1.5,0.2,-1,-0.0137664,0.000261359136280001,1,3,4,2,1,3,4,2
"91",-0.5,-1.5,0.2,1,-0.0250243999999999,0.000613494462510001,1,3,4,2,1,2,4,3
"92",-0.5,-1.5,0.2,1.5,-0.0255384000000001,0.000662435648280001,1,3,4,2,1,2,4,3
"93",-0.5,-1.5,0.75,-1.5,-0.00670130000000002,0.000134377361440002,1,3,4,2,1,3,4,2
"94",-0.5,-1.5,0.75,-1,-0.0138715,0.0002590813744,1,3,4,2,1,3,4,2
"95",-0.5,-1.5,0.75,1,-0.0248128000000001,0.000612239154459998,1,3,4,2,1,2,4,3
"96",-0.5,-1.5,0.75,1.5,-0.0252759999999999,0.000662092327520003,1,3,4,2,1,2,4,3
"97",-0.5,-1,-0.75,-1.5,-0.00626379999999993,0.000182619811000002,1,3,4,2,1,3,4,2
"98",-0.5,-1,-0.75,-1,-0.0123676000000001,0.000348484490339997,1,3,4,2,1,3,4,2
"99",-0.5,-1,-0.75,1,-0.0221769000000001,0.000766612593000001,1,3,4,2,1,2,4,3
"100",-0.5,-1,-0.75,1.5,-0.0225198000000001,0.000822600848789997,2,3,4,1,1,2,4,3
