"","a1","g6","rho","beta2","Z_e","p2xp3","AY_ne","AMY_ne","AZY_ne","AZMY_ne","AY_re","AMY_re","AZY_re","AZMY_re"
"59",-1.5,1,0.2,1,0.000686900000000046,0.00014758247774,1,2,4,3,1,2,4,3
"60",-1.5,1,0.2,1.5,0.00072059999999996,0.00015161636853,1,2,4,3,1,2,4,3
"61",-1.5,1,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"62",-1.5,1,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"63",-1.5,1,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"64",-1.5,1,0.75,1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"65",-1.5,1.5,-0.75,-1.5,0.000123600000000113,5.33619763200012e-05,1,2,4,3,1,2,4,3
"66",-1.5,1.5,-0.75,-1,0.000365899999999919,9.38002526599996e-05,1,2,4,3,1,2,4,3
"67",-1.5,1.5,-0.75,1,0.000738000000000016,0.000154171944639999,1,2,4,3,1,2,4,3
"68",-1.5,1.5,-0.75,1.5,0.000770199999999943,0.000158324182960001,1,2,4,3,1,2,4,3
"69",-1.5,1.5,-0.2,-1.5,0.000150100000000042,5.35751306999995e-05,1,2,4,3,1,2,4,3
"70",-1.5,1.5,-0.2,-1,0.000361999999999862,9.35467847999987e-05,1,2,4,3,1,2,4,3
"71",-1.5,1.5,-0.2,1,0.00068950000000001,0.000153040968959999,1,2,4,3,1,2,4,3
"72",-1.5,1.5,-0.2,1.5,0.000724999999999976,0.000157320463560001,1,2,4,3,1,2,4,3
"73",-1.5,1.5,0.2,-1.5,0.000108400000000008,5.33075534999991e-05,1,2,4,3,1,2,4,3
"74",-1.5,1.5,0.2,-1,0.000324999999999909,9.31841831199996e-05,1,2,4,3,1,2,4,3
"75",-1.5,1.5,0.2,1,0.000652199999999992,0.000152636964889998,1,2,4,3,1,2,4,3
"76",-1.5,1.5,0.2,1.5,0.000685600000000064,0.000156823971120001,1,2,4,3,1,2,4,3
"77",-1.5,1.5,0.75,-1.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"78",-1.5,1.5,0.75,-1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"79",-1.5,1.5,0.75,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA
