"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...39",-1.5,0,-0.2,1,-4.65231397860591,-2.6173161,0.530025,0.530025,1.590075,1.590075,0
"Ys1...40",-1.5,0,-0.2,1.5,-4.92140267860591,-2.6173161,0.530025,0.530025,1.8550875,1.8550875,-8.88178419700125e-16
"Ys1...41",-1.5,0,0.2,-1.5,-3.30699595624101,-2.6173161,0.53008005,0.53008005,0.265040024999999,0.265040025,8.88178419700125e-16
"Ys1...42",-1.5,0,0.2,-1,-3.57604795624101,-2.6173161,0.53008005,0.53008005,0.53008005,0.53008005,0
"Ys1...43",-1.5,0,0.2,1,-4.65225595624101,-2.6173161,0.53008005,0.53008005,1.59024015,1.59024015,0
"Ys1...44",-1.5,0,0.2,1.5,-4.92130795624101,-2.6173161,0.53008005,0.53008005,1.855280175,1.855280175,-8.88178419700125e-16
"Ys1...45",-1.5,0,0.75,-1.5,NA,-2.6173161,NA,NA,NA,NA,NA
"Ys1...46",-1.5,0,0.75,-1,NA,-2.6173161,NA,NA,NA,NA,NA
"Ys1...47",-1.5,0,0.75,1,NA,-2.6173161,NA,NA,NA,NA,NA
"Ys1...48",-1.5,0,0.75,1.5,NA,-2.6173161,NA,NA,NA,NA,NA
"Ys1...49",-1.5,1,-0.75,-1.5,-3.30590865720875,-4.17341285,0.75290515714297,0.93174405714297,0.573340975,0.375241675000001,-0.0192603999999985
"Ys1...50",-1.5,1,-0.75,-1,-3.57471105720875,-4.17341285,0.62160955714297,0.97928735714297,1.14668195,0.75048335,-0.0385208000000006
"Ys1...51",-1.5,1,-0.75,1,-4.64992065720875,-4.17341285,0.09642715714297,1.16946055714297,3.44004585,2.25145005,-0.115562399999998
"Ys1...52",-1.5,1,-0.75,1.5,-4.91872305720875,-4.17341285,-0.0348684428570296,1.21700385714297,4.013386825,2.626691725,-0.1348228
"Ys1...53",-1.5,1,-0.2,-1.5,-3.30687047860591,-4.17341285,0.811054985745812,0.930871335745812,0.5140146,0.3750172,-0.0191810499999994
"Ys1...54",-1.5,1,-0.2,-1,-3.57595917860591,-4.17341285,0.738727885745813,0.978360585745812,1.0280292,0.7500344,-0.0383621000000005
