"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...45",-1.5,0,0.75,-1.5,-0.0132475,-0.1162803,0.2384348,0.2491224,0.0683279,0.0712977,0.0136573999999999
"Ys1...46",-1.5,0,0.75,-1,-0.046278,-0.0441576,0.2320624,0.2635796,0.150066,0.1597349,0.0411861000000001
"Ys1...47",-1.5,0,0.75,1,-0.0633872,0.0140733,0.1308904,0.1583765,0.3727667,0.4285388,0.0832581999999999
"Ys1...48",-1.5,0,0.75,1.5,-0.0616581,0.0109552000000001,0.1137999,0.1362799,0.4006512,0.4583746,0.0802034
"Ys1...49",-1.5,1,-0.75,-1.5,-0.0543062,-0.2846142,0.2660414,0.3043188,0.0680874,0.0735937000000001,0.0437837000000001
"Ys1...50",-1.5,1,-0.75,-1,-0.102331,-0.1946854,0.1188012,0.2380296,0.1922334,0.1780247,0.1050197
"Ys1...51",-1.5,1,-0.75,1,-0.1530497,-0.00743470000000002,-0.2693405,0.0132537,0.5194363,0.4387797,0.2019376
"Ys1...52",-1.5,1,-0.75,1.5,-0.1495226,-0.00187280000000001,-0.2972698,-0.0138158,0.5461378,0.4610286,0.1983448
"Ys1...53",-1.5,1,-0.2,-1.5,-0.0539293,-0.2844819,0.2646579,0.3040464,0.0689690999999999,0.0733978,0.0438172000000001
"Ys1...54",-1.5,1,-0.2,-1,-0.1028588,-0.194631,0.1296222,0.2381594,0.1814702,0.1778968,0.1049638
"Ys1...55",-1.5,1,-0.2,1,-0.1527747,-0.00740419999999997,-0.2338868,0.0134784,0.4838505,0.4388867,0.2024014
"Ys1...56",-1.5,1,-0.2,1.5,-0.149062,-0.00174849999999993,-0.2619915,-0.013686,0.5104817,0.4610066,0.1988304
"Ys1...57",-1.5,1,0.2,-1.5,-0.0537268,-0.2846885,0.2653789,0.3045149,0.0683033000000001,0.0735727,0.0444053999999999
"Ys1...58",-1.5,1,0.2,-1,-0.1025441,-0.1947589,0.140784,0.2383036,0.1705305,0.1779049,0.104894
"Ys1...59",-1.5,1,0.2,1,-0.1528644,-0.00708730000000002,-0.2102005,0.013396,0.4602573,0.4390802,0.2024194
"Ys1...60",-1.5,1,0.2,1.5,-0.1493351,-0.00157300000000005,-0.2392763,-0.0136318,0.4881083,0.4613064,0.1988426
"Ys1...61",-1.5,1,0.75,-1.5,-0.0539921,-0.2846593,0.2676375,0.3042151,0.0662008000000001,0.0734098,0.0437866
"Ys1...62",-1.5,1,0.75,-1,-0.1023618,-0.1950444,0.1581228,0.2380452,0.1530083,0.1779507,0.1048648
"Ys1...63",-1.5,1,0.75,1,-0.1528576,-0.00720199999999993,-0.1839178,0.0134156,0.4338993,0.4392127,0.2026468
"Ys1...64",-1.5,1,0.75,1.5,-0.1493242,-0.00145669999999998,-0.2163957,-0.0138023,0.4651851,0.4614314,0.1988397
"Ys1...65",-1.5,1.5,-0.75,-1.5,-0.058484,-0.3334988,0.2302503,0.303184,0.0930467,0.071219,0.051106
"Ys1...66",-1.5,1.5,-0.75,-1,-0.0804402000000001,-0.2511008,0.00309840000000006,0.1930194,0.2397138,0.1735196,0.1237268
"Ys1...67",-1.5,1.5,-0.75,1,-0.0735281,-0.0296448,-0.4702521,-0.1017713,0.5787505,0.4058848,0.1956151
"Ys1...68",-1.5,1.5,-0.75,1.5,-0.066118,-0.0193101999999999,-0.5056838,-0.1327311,0.6071821,0.4242626,0.1900332
"Ys1...69",-1.5,1.5,-0.2,-1.5,-0.0582667,-0.3336145,0.2391678,0.3028046,0.0838835,0.0715074,0.0512606999999999
"Ys1...70",-1.5,1.5,-0.2,-1,-0.0805115000000001,-0.2509358,0.0331129,0.193357,0.2100442,0.1735346,0.1237345
"Ys1...71",-1.5,1.5,-0.2,1,-0.0733777999999999,-0.0296147,-0.4089859,-0.102005,0.5174073,0.4058663,0.1954399
"Ys1...72",-1.5,1.5,-0.2,1.5,-0.0661039000000001,-0.0193192000000001,-0.4432272,-0.1328648,0.5447292,0.4240195,0.1896527
"Ys1...73",-1.5,1.5,0.2,-1.5,-0.0584915,-0.3338098,0.2478341,0.3032228,0.0756353000000001,0.0715173,0.0512707
"Ys1...74",-1.5,1.5,0.2,-1,-0.0802638999999999,-0.2511157,0.0584533,0.1932492,0.184491,0.17326,0.1235649
"Ys1...75",-1.5,1.5,0.2,1,-0.0735287,-0.0293175,-0.3692344,-0.101649,0.4778239,0.4063427,0.1961042
"Ys1...76",-1.5,1.5,0.2,1.5,-0.0660702,-0.0194118,-0.4049788,-0.1326471,0.5066593,0.4249702,0.1906426
"Ys1...77",-1.5,1.5,0.75,-1.5,-0.0583490999999999,-0.3335913,0.26101,0.3030415,0.0623258,0.0713163,0.051022
"Ys1...78",-1.5,1.5,0.75,-1,-0.0799384999999999,-0.2512971,0.0979857,0.1932335,0.1448123,0.1735064,0.1239419
"Ys1...79",-1.5,1.5,0.75,1,-0.0735337,-0.0294508999999999,-0.326875,-0.1018888,0.4356897,0.4063883,0.1956848
"Ys1...80",-1.5,1.5,0.75,1.5,-0.0661676,-0.0193149,-0.3685717,-0.1326312,0.4703282,0.4247691,0.1903814
"Ys1...81",-0.5,-1.5,-0.75,-1.5,-0.0591882,0.0697171999999999,0.1167828,0.0244405,-0.0826595999999999,0.0117557,0.00207299999999999
"Ys1...82",-0.5,-1.5,-0.75,-1,-0.0782894,0.1242607,0.1972312,0.0292698,-0.1549634,0.020566,0.00756800000000002
"Ys1...83",-0.5,-1.5,-0.75,1,-0.114964,0.1265208,0.3562639,0.0384525,-0.3046168,0.040794,0.0275993999999999
"Ys1...84",-0.5,-1.5,-0.75,1.5,-0.1184636,0.0968507,0.3735752,0.0383043000000001,-0.3215417,0.0435234999999999,0.0297942999999999
